time_ms,time_ts,chatter
1762291889208,1762291889.208153,"-- Current Config --"
1762291889208,1762291889.208331,"MOTOR_STEP_DEG=1.800"
1762291889208,1762291889.208415,"WHEEL_DIAM_IN=3.750"
1762291889208,1762291889.208481,"ACCEL_FT=4.000"
1762291889211,1762291889.211170,"CRUISE_FT=10.000"
1762291889211,1762291889.211264,"DECEL_FT=4.000"
1762291889211,1762291889.211655,"VMAX_FPS=3.000"
1762291889211,1762291889.211710,"PAUSE_MS=10000"
1762291889211,1762291889.211773,"REWIND_TIME_S=30"
1762291889212,1762291889.212085,"DIR_INV=0"
1762291889212,1762291889.212386,"RATE_HZ=200"
1762291889212,1762291889.212451,"REWIND_CAL_IN=1.000"
1762291889265,1762291889.265589,"START received."
1762291889269,1762291889.269050,"=== PLAN (before motion) ==="
1762291889273,1762291889.273546,"Wheel dia=3.750 in, circ=0.98175 ft"
1762291889273,1762291889.273632,"steps/rev=200.0, steps/ft=203.72"
1762291889273,1762291889.273705,"Vpeak (ft/s)=3.000"
1762291889274,1762291889.274026,"Accel a (ft/s^2)=1.125"
1762291889274,1762291889.274077,"Decel d (ft/s^2)=1.125"
1762291889274,1762291889.274130,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762291889274,1762291889.274486,"Rewind early-stop (in): 1.000"
1762291889274,1762291889.274924,"=== END PLAN ==="
1762291889275,1762291889.275233,"=== COUNTDOWN ==="
1762291889275,1762291889.275269,"5"
1762291890267,1762291890.267159,"4"
1762291892267,1762291892.267095,"WHISTLE!"
1762291893262,1762291893.262406,"1"
1762291894482,1762291894.482670,"START t_ms=1393382, t_s=1393.38"
1394517,1762291895.656672,"0.12000,0.07143,1394542"
1398772,1762291899.909676,"2.19911,1.67012,1.42513,1398787"
1405852,1762291907.011436,"0.00000,0.00000,1405872"
1406392,1762291907.565323,"0.00000,1406417"
1411077,1762291912.256343,"0.00000,0.00000,1411112"
1417172,1762291918.342471,"1.00000,0.00000,1417187"
1419657,1762291920.843677,"0.00000,1419697"
1420202,1762291921.388905,"12.86089,-1.00000,0.00000,1420237"
1421037,1762291922.220720,"0.00000,1421072"
1421317,1762291922.509009,"0.00000,1421332"
1421577,1762291922.779377,"1.00000,0.00000,1421622"
1422972,1762291924.165898,"1.00000,0.00000,1422997"
1424332,1762291925.520951,"0.00000,1424357"
1424602,1762291925.803105,"0.00000,1424627"
1425427,1762291926.631813,"0.00000,1425457"
1425982,1762291927.166893,"0.00000,1426007"
1429232,1762291930.428993,"1.00000,0.00000,1429252"
1429772,1762291930.973333,"1.00000,0.00000,1429802"
1431702,1762291932.921007,"0.00000,1431732"
1432557,1762291933.780774,"0.00000,1432597"
1433037,1762291933.998225,"=== RUN END ==="
1433037,1762291934.043853,"Type START to run again, or SHOW to view config."
