time_ms,time_ts,v4,v5,g4,g5
1445157,1762291946.558466,2.528684,2.610918,0.014342,0.055459
1445157,1762291946.558535,2.528684,2.604518,0.014342,0.052259
1445157,1762291946.558551,2.528684,2.617638,0.014342,0.058819
1445157,1762291946.558559,2.529644,2.611558,0.014822,0.055779
1445158,1762291946.559009,2.529004,2.602919,0.014502,0.051459
1445159,1762291946.560025,2.530284,2.606758,0.015142,0.053379
1445159,1762291946.560071,2.530284,2.610598,0.015142,0.055299
1445161,1762291946.561974,2.529644,2.605478,0.014822,0.052739
1445161,1762291946.562047,2.531244,2.610598,0.015622,0.055299
1445166,1762291946.567693,2.530924,2.602599,0.015462,0.051299
1445175,1762291946.576319,2.529644,2.608678,0.014822,0.054339
1445175,1762291946.576794,2.530604,2.596199,0.015302,0.048100
1445175,1762291946.576821,2.529964,2.612198,0.014982,0.056099
1445175,1762291946.576859,2.530284,2.600359,0.015142,0.050179
1445175,1762291946.576905,2.530284,2.602279,0.015142,0.051139
1445175,1762291946.576919,2.529324,2.607398,0.014662,0.053699
1445175,1762291946.576926,2.529964,2.604838,0.014982,0.052419
1445175,1762291946.576931,2.528684,2.608998,0.014342,0.054499
1445176,1762291946.576937,2.529324,2.608358,0.014662,0.054179
1445176,1762291946.576943,2.529004,2.608358,0.014502,0.054179
1445176,1762291946.577140,2.528044,2.607078,0.014022,0.053539
1445176,1762291946.577545,2.527084,2.604838,0.013542,0.052419
1445176,1762291946.577602,2.527084,2.605798,0.013542,0.052899
1445176,1762291946.577611,2.527084,2.602279,0.013542,0.051139
1445176,1762291946.577616,2.526124,2.607398,0.013062,0.053699
1445176,1762291946.577622,2.526444,2.602919,0.013222,0.051459
1445176,1762291946.577652,2.526444,2.605798,0.013222,0.052899
1445176,1762291946.577671,2.525484,2.607398,0.012742,0.053699
1445176,1762291946.577680,2.525164,2.603239,0.012582,0.051619
1445176,1762291946.577686,2.524204,2.602599,0.012102,0.051299
1445188,1762291946.589397,2.524844,2.601639,0.012422,0.050819
1445188,1762291946.589427,2.523564,2.603239,0.011782,0.051619
1445188,1762291946.589433,2.522284,2.600679,0.011142,0.050339
1445188,1762291946.589440,2.522284,2.602279,0.011142,0.051139
1445188,1762291946.589446,2.521964,2.600679,0.010982,0.050339
1445188,1762291946.589451,2.523244,2.603239,0.011622,0.051619
1445188,1762291946.589456,2.520685,2.602599,0.010342,0.051299
1445188,1762291946.589478,2.521964,2.600999,0.010982,0.050499
1445188,1762291946.589483,2.520045,2.601959,0.010022,0.050979
1445188,1762291946.589533,2.519405,2.601639,0.009702,0.050819
1445203,1762291946.604559,2.519725,2.601319,0.009862,0.050659
1445203,1762291946.604592,2.517805,2.599399,0.008902,0.049699
1445203,1762291946.604597,2.516845,2.601959,0.008422,0.050979
1445203,1762291946.604601,2.517165,2.600679,0.008582,0.050339
1445203,1762291946.604605,2.517485,2.603239,0.008742,0.051619
1445203,1762291946.604609,2.517165,2.600999,0.008582,0.050499
1445203,1762291946.604613,2.515245,2.599079,0.007622,0.049539
1445203,1762291946.604616,2.515885,2.598759,0.007942,0.049379
1445203,1762291946.604620,2.514285,2.601319,0.007142,0.050659
1445203,1762291946.604623,2.515245,2.598119,0.007622,0.049059
1445221,1762291946.621964,2.513645,2.600679,0.006823,0.050339
1445221,1762291946.621997,2.512045,2.597799,0.006023,0.048899
1445221,1762291946.622035,2.512365,2.598119,0.006183,0.049059
1445221,1762291946.622099,2.511405,2.599079,0.005703,0.049539
1445221,1762291946.622572,2.512045,2.598439,0.006023,0.049219
1445225,1762291946.626020,2.510765,2.598759,0.005383,0.049379
1445225,1762291946.626042,2.510765,2.598119,0.005383,0.049059
1445225,1762291946.626050,2.510765,2.600359,0.005383,0.050179
1445225,1762291946.626057,2.508845,2.597799,0.004423,0.048899
1445225,1762291946.626064,2.510445,2.599079,0.005223,0.049539
1445225,1762291946.626584,2.508525,2.600039,0.004263,0.050019
1445225,1762291946.626600,2.507885,2.598759,0.003943,0.049379
1445225,1762291946.626607,2.508525,2.599399,0.004263,0.049699
1445225,1762291946.626612,2.506926,2.600039,0.003463,0.050019
1445225,1762291946.626617,2.507885,2.598439,0.003943,0.049219
1445225,1762291946.626624,2.507246,2.600359,0.003623,0.050179
1445226,1762291946.627066,2.507246,2.600039,0.003623,0.050019
1445226,1762291946.627075,2.506926,2.599079,0.003463,0.049539
1445226,1762291946.627105,2.507246,2.599719,0.003623,0.049859
1445226,1762291946.627149,2.506926,2.600359,0.003463,0.050179
1445237,1762291946.638534,2.505326,2.599079,0.002663,0.049539
1445237,1762291946.638578,2.506286,2.598439,0.003143,0.049219
1445237,1762291946.638629,2.506286,2.600679,0.003143,0.050339
1445237,1762291946.638646,2.506286,2.600359,0.003143,0.050179
1445237,1762291946.638659,2.505646,2.599719,0.002823,0.049859
1445237,1762291946.638664,2.505966,2.600039,0.002983,0.050019
1445237,1762291946.638670,2.506286,2.599719,0.003143,0.049859
1445237,1762291946.638678,2.506286,2.601319,0.003143,0.050659
1445237,1762291946.638692,2.505006,2.600999,0.002503,0.050499
1445237,1762291946.638737,2.504686,2.600359,0.002343,0.050179
1445238,1762291946.639722,2.505326,2.600359,0.002663,0.050179
1445238,1762291946.639738,2.504686,2.600679,0.002343,0.050339
1445238,1762291946.639744,2.505646,2.600359,0.002823,0.050179
1445238,1762291946.639749,2.504046,2.600999,0.002023,0.050499
1445238,1762291946.639755,2.504046,2.601639,0.002023,0.050819
1445238,1762291946.639760,2.504366,2.602919,0.002183,0.051459
1445238,1762291946.639775,2.503726,2.602599,0.001863,0.051299
1445238,1762291946.639780,2.503726,2.603239,0.001863,0.051619
1445238,1762291946.639786,2.503406,2.602919,0.001703,0.051459
1445238,1762291946.639790,2.504046,2.603559,0.002023,0.051779
1445252,1762291946.653245,2.501806,2.604198,0.000903,0.052099
1445252,1762291946.653276,2.503726,2.604518,0.001863,0.052259
1445252,1762291946.653286,2.503406,2.605158,0.001703,0.052579
1445252,1762291946.653298,2.503726,2.604198,0.001863,0.052099
1445252,1762291946.653305,2.503726,2.605478,0.001863,0.052739
1445252,1762291946.653368,2.502766,2.605798,0.001383,0.052899
1445252,1762291946.653408,2.503726,2.605798,0.001863,0.052899
1445252,1762291946.653415,2.503086,2.606118,0.001543,0.053059
1445252,1762291946.653464,2.502766,2.606438,0.001383,0.053219
1445252,1762291946.653541,2.504366,2.608038,0.002183,0.054019
1445267,1762291946.668536,2.503406,2.607718,0.001703,0.053859
1445267,1762291946.668559,2.504366,2.608678,0.002183,0.054339
1445267,1762291946.668565,2.503086,2.608358,0.001543,0.054179
1445267,1762291946.668569,2.504686,2.609318,0.002343,0.054659
1445267,1762291946.668574,2.504046,2.608998,0.002023,0.054499
1445267,1762291946.668578,2.504686,2.609638,0.002343,0.054819
1445267,1762291946.668583,2.504366,2.610598,0.002183,0.055299
1445267,1762291946.668586,2.503406,2.610278,0.001703,0.055139
1445267,1762291946.668590,2.504046,2.610278,0.002023,0.055139
1445267,1762291946.668597,2.505326,2.610598,0.002663,0.055299
1445283,1762291946.684548,2.504686,2.612198,0.002343,0.056099
1445283,1762291946.684573,2.505006,2.611558,0.002503,0.055779
1445283,1762291946.684577,2.504046,2.612198,0.002023,0.056099
1445283,1762291946.684584,2.504686,2.611558,0.002343,0.055779
1445283,1762291946.684587,2.505006,2.612198,0.002503,0.056099
1445283,1762291946.684591,2.505006,2.613158,0.002503,0.056579
1445283,1762291946.684594,2.505646,2.613478,0.002823,0.056739
1445283,1762291946.684598,2.505326,2.613478,0.002663,0.056739
1445283,1762291946.684601,2.505006,2.613478,0.002503,0.056739
1445283,1762291946.684605,2.505006,2.613478,0.002503,0.056739
1445284,1762291946.685762,2.505006,2.614438,0.002503,0.057219
1445284,1762291946.685777,2.503726,2.615078,0.001863,0.057539
1445284,1762291946.685825,2.507246,2.614118,0.003623,0.057059
1445284,1762291946.685833,2.508525,2.615078,0.004263,0.057539
1445284,1762291946.685837,2.510445,2.615718,0.005223,0.057859
1445284,1762291946.685843,2.505966,2.615398,0.002983,0.057699
1445284,1762291946.685846,2.506606,2.615078,0.003303,0.057539
1445284,1762291946.685850,2.513325,2.616358,0.006663,0.058179
1445284,1762291946.685881,2.503086,2.615718,0.001543,0.057859
1445284,1762291946.685889,2.506606,2.615718,0.003303,0.057859
1445302,1762291946.702967,2.509805,2.616678,0.004903,0.058339
1445302,1762291946.703014,2.502766,2.616038,0.001383,0.058019
1445302,1762291946.703100,2.508845,2.616358,0.004423,0.058179
1445302,1762291946.703115,2.506926,2.615398,0.003463,0.057699
1445302,1762291946.703122,2.510125,2.616358,0.005063,0.058179
1445302,1762291946.703127,2.510765,2.616038,0.005383,0.058019
1445302,1762291946.703132,2.513645,2.616358,0.006823,0.058179
1445302,1762291946.703138,2.497006,2.616358,-0.001497,0.058179
1445302,1762291946.703143,2.504686,2.614758,0.002343,0.057379
1445302,1762291946.703148,2.497006,2.616038,-0.001497,0.058019
1445302,1762291946.703317,2.506606,2.614118,0.003303,0.057059
1445302,1762291946.703329,2.510125,2.615398,0.005063,0.057699
1445302,1762291946.703335,2.502126,2.614438,0.001063,0.057219
1445302,1762291946.703340,2.504366,2.614758,0.002183,0.057379
1445302,1762291946.703346,2.496686,2.614118,-0.001657,0.057059
1445302,1762291946.703352,2.508205,2.614758,0.004103,0.057379
1445302,1762291946.703357,2.502766,2.614118,0.001383,0.057059
1445302,1762291946.703362,2.496686,2.614758,-0.001657,0.057379
1445302,1762291946.703368,2.512045,2.613798,0.006023,0.056899
1445302,1762291946.703376,2.509805,2.612838,0.004903,0.056419
1445315,1762291946.716054,2.502446,2.613158,0.001223,0.056579
1445315,1762291946.716124,2.513005,2.613478,0.006503,0.056739
1445315,1762291946.716169,2.502766,2.612198,0.001383,0.056099
1445315,1762291946.716187,2.507246,2.611878,0.003623,0.055939
1445315,1762291946.716204,2.513005,2.612518,0.006503,0.056259
1445315,1762291946.716223,2.507246,2.610918,0.003623,0.055459
1445315,1762291946.716237,2.504686,2.611558,0.002343,0.055779
1445315,1762291946.716251,2.516845,2.610918,0.008422,0.055459
1445315,1762291946.716269,2.503086,2.610278,0.001543,0.055139
1445315,1762291946.716433,2.501486,2.610598,0.000743,0.055299
1445330,1762291946.731555,2.502126,2.609318,0.001063,0.054659
1445330,1762291946.731581,2.504686,2.608038,0.002343,0.054019
1445330,1762291946.731586,2.511085,2.608038,0.005543,0.054019
1445330,1762291946.731590,2.501806,2.605798,0.000903,0.052899
1445330,1762291946.731594,2.507565,2.606438,0.003783,0.053219
1445330,1762291946.731598,2.496046,2.604838,-0.001977,0.052419
1445330,1762291946.731602,2.505966,2.604518,0.002983,0.052259
1445330,1762291946.731605,2.505006,2.603559,0.002503,0.051779
1445330,1762291946.731609,2.502766,2.603559,0.001383,0.051779
1445330,1762291946.731614,2.504686,2.602279,0.002343,0.051139
1445330,1762291946.731772,2.515245,2.600679,0.007622,0.050339
1445330,1762291946.731781,2.504366,2.600039,0.002183,0.050019
1445330,1762291946.731785,2.505006,2.598759,0.002503,0.049379
1445330,1762291946.731792,2.506606,2.598439,0.003303,0.049219
1445330,1762291946.731796,2.510445,2.597799,0.005223,0.048899
1445330,1762291946.731800,2.505326,2.597479,0.002663,0.048739
1445330,1762291946.731803,2.519725,2.595559,0.009862,0.047780
1445330,1762291946.731807,2.499246,2.595879,-0.000377,0.047940
1445330,1762291946.731811,2.500846,2.593639,0.000423,0.046820
1445330,1762291946.731814,2.511085,2.594599,0.005543,0.047300
1445345,1762291946.746517,2.509805,2.592359,0.004903,0.046180
1445346,1762291946.747922,2.513005,2.591399,0.006503,0.045700
1445347,1762291946.747970,2.507565,2.591079,0.003783,0.045540
1445347,1762291946.747983,2.507565,2.590759,0.003783,0.045380
1445347,1762291946.747991,2.513005,2.590759,0.006503,0.045380
1445347,1762291946.747999,2.512685,2.589480,0.006343,0.044740
1445347,1762291946.748008,2.509485,2.588840,0.004743,0.044420
1445347,1762291946.748015,2.507885,2.588200,0.003943,0.044100
1445347,1762291946.748021,2.502766,2.588200,0.001383,0.044100
1445347,1762291946.748513,2.501806,2.587240,0.000903,0.043620
1445362,1762291946.763175,2.505326,2.586600,0.002663,0.043300
1445364,1762291946.765393,2.502126,2.585640,0.001063,0.042820
1445364,1762291946.765401,2.511405,2.585000,0.005703,0.042500
1445364,1762291946.765409,2.509805,2.585000,0.004903,0.042500
1445364,1762291946.765415,2.503726,2.584040,0.001863,0.042020
1445364,1762291946.765450,2.505326,2.584680,0.002663,0.042340
1445365,1762291946.766050,2.507246,2.583080,0.003623,0.041540
1445365,1762291946.766098,2.504366,2.583720,0.002183,0.041860
1445365,1762291946.766119,2.505966,2.583080,0.002983,0.041540
1445365,1762291946.766185,2.504046,2.582440,0.002023,0.041220
1445365,1762291946.766778,2.505966,2.581800,0.002983,0.040900
1445365,1762291946.766814,2.505646,2.581800,0.002823,0.040900
1445365,1762291946.766828,2.505646,2.582760,0.002823,0.041380
1445365,1762291946.766849,2.504366,2.580840,0.002183,0.040420
1445365,1762291946.766858,2.503406,2.580520,0.001703,0.040260
1445365,1762291946.766863,2.500206,2.579560,0.000103,0.039780
1445365,1762291946.766869,2.505646,2.580520,0.002823,0.040260
1445365,1762291946.766875,2.505006,2.579560,0.002503,0.039780
1445365,1762291946.766880,2.502446,2.578280,0.001223,0.039140
1445365,1762291946.766886,2.513005,2.578920,0.006503,0.039460
1445377,1762291946.778867,2.500526,2.579240,0.000263,0.039620
1445377,1762291946.778887,2.505966,2.579240,0.002983,0.039620
1445377,1762291946.778893,2.503086,2.578920,0.001543,0.039460
1445377,1762291946.778899,2.503406,2.577960,0.001703,0.038980
1445377,1762291946.778918,2.504366,2.578920,0.002183,0.039460
1445378,1762291946.778952,2.506926,2.578280,0.003463,0.039140
1445378,1762291946.778959,2.504686,2.579240,0.002343,0.039620
1445378,1762291946.778965,2.503406,2.577960,0.001703,0.038980
1445378,1762291946.778970,2.506606,2.578280,0.003303,0.039140
1445378,1762291946.778976,2.502446,2.578920,0.001223,0.039460
1445378,1762291946.779146,2.504686,2.578920,0.002343,0.039460
1445378,1762291946.779175,2.504686,2.578920,0.002343,0.039460
1445378,1762291946.779181,2.503086,2.578920,0.001543,0.039460
1445378,1762291946.779186,2.504046,2.579240,0.002023,0.039620
1445378,1762291946.779191,2.501486,2.580840,0.000743,0.040420
1445378,1762291946.779197,2.503406,2.579880,0.001703,0.039940
1445378,1762291946.779224,2.503086,2.579560,0.001543,0.039780
1445378,1762291946.779230,2.503406,2.581160,0.001703,0.040580
1445378,1762291946.779235,2.503406,2.580200,0.001703,0.040100
1445378,1762291946.779244,2.504046,2.581480,0.002023,0.040740
1445393,1762291946.794353,2.503086,2.581160,0.001543,0.040580
1445393,1762291946.794400,2.503726,2.581800,0.001863,0.040900
1445393,1762291946.794405,2.504366,2.582120,0.002183,0.041060
1445393,1762291946.794413,2.502766,2.582440,0.001383,0.041220
1445393,1762291946.794417,2.504046,2.583080,0.002023,0.041540
1445393,1762291946.794421,2.504686,2.582760,0.002343,0.041380
1445393,1762291946.794425,2.503726,2.583720,0.001863,0.041860
1445393,1762291946.794428,2.504366,2.582760,0.002183,0.041380
1445393,1762291946.794432,2.504366,2.583400,0.002183,0.041700
1445393,1762291946.794436,2.503406,2.584040,0.001703,0.042020
1445410,1762291946.811487,2.502766,2.583720,0.001383,0.041860
1445410,1762291946.811553,2.504366,2.583720,0.002183,0.041860
1445410,1762291946.811574,2.503726,2.584680,0.001863,0.042340
1445410,1762291946.811581,2.503406,2.584040,0.001703,0.042020
1445410,1762291946.811587,2.503726,2.584040,0.001863,0.042020
1445410,1762291946.811592,2.503726,2.584680,0.001863,0.042340
1445410,1762291946.811598,2.504046,2.584680,0.002023,0.042340
1445410,1762291946.811604,2.505006,2.584680,0.002503,0.042340
1445410,1762291946.811620,2.503726,2.584680,0.001863,0.042340
1445410,1762291946.811630,2.504046,2.585000,0.002023,0.042500
1445415,1762291946.816568,2.505326,2.584360,0.002663,0.042180
1445415,1762291946.816588,2.503726,2.585000,0.001863,0.042500
1445415,1762291946.816594,2.505006,2.585000,0.002503,0.042500
1445415,1762291946.816645,2.503726,2.585000,0.001863,0.042500
1445415,1762291946.816663,2.504366,2.584680,0.002183,0.042340
1445416,1762291946.816996,2.505006,2.585000,0.002503,0.042500
1445416,1762291946.817008,2.504366,2.585960,0.002183,0.042980
1445416,1762291946.817016,2.504046,2.585000,0.002023,0.042500
1445416,1762291946.817021,2.505006,2.585320,0.002503,0.042660
1445416,1762291946.817027,2.504046,2.585320,0.002023,0.042660
1445428,1762291946.829137,2.505006,2.586280,0.002503,0.043140
1445428,1762291946.829768,2.503726,2.586920,0.001863,0.043460
1445428,1762291946.829801,2.503726,2.585000,0.001863,0.042500
1445428,1762291946.829828,2.504366,2.586280,0.002183,0.043140
1445428,1762291946.829876,2.504046,2.586280,0.002023,0.043140
1445428,1762291946.829895,2.503726,2.586600,0.001863,0.043300
1445428,1762291946.829902,2.504366,2.587560,0.002183,0.043780
1445428,1762291946.829907,2.504046,2.586280,0.002023,0.043140
1445428,1762291946.829912,2.504366,2.586600,0.002183,0.043300
1445428,1762291946.829921,2.503406,2.587560,0.001703,0.043780
1445429,1762291946.830373,2.504046,2.587240,0.002023,0.043620
1445429,1762291946.830395,2.505006,2.587560,0.002503,0.043780
1445429,1762291946.830401,2.504046,2.586600,0.002023,0.043300
1445429,1762291946.830407,2.504686,2.586920,0.002343,0.043460
1445429,1762291946.830412,2.503726,2.586920,0.001863,0.043460
1445429,1762291946.830418,2.504686,2.585960,0.002343,0.042980
1445429,1762291946.830423,2.504366,2.585960,0.002183,0.042980
1445429,1762291946.830427,2.504366,2.586920,0.002183,0.043460
1445429,1762291946.830432,2.504046,2.586600,0.002023,0.043300
1445429,1762291946.830437,2.504046,2.586600,0.002023,0.043300
1445441,1762291946.842115,2.504686,2.585640,0.002343,0.042820
1445441,1762291946.842163,2.505006,2.585320,0.002503,0.042660
1445441,1762291946.842187,2.505326,2.585320,0.002663,0.042660
1445441,1762291946.842193,2.504686,2.586280,0.002343,0.043140
1445441,1762291946.842199,2.505966,2.585000,0.002983,0.042500
1445441,1762291946.842205,2.506286,2.585000,0.003143,0.042500
1445441,1762291946.842210,2.505646,2.584680,0.002823,0.042340
1445441,1762291946.842216,2.506926,2.584040,0.003463,0.042020
1445441,1762291946.842221,2.506606,2.585000,0.003303,0.042500
1445441,1762291946.842227,2.505966,2.583720,0.002983,0.041860
1445456,1762291946.857031,2.506926,2.584040,0.003463,0.042020
1445456,1762291946.857063,2.506606,2.583400,0.003303,0.041700
1445456,1762291946.857068,2.507565,2.583720,0.003783,0.041860
1445456,1762291946.857072,2.507246,2.583720,0.003623,0.041860
1445456,1762291946.857076,2.506286,2.582120,0.003143,0.041060
1445456,1762291946.857079,2.507885,2.582440,0.003943,0.041220
1445456,1762291946.857083,2.506926,2.582120,0.003463,0.041060
1445456,1762291946.857086,2.507565,2.581800,0.003783,0.040900
1445456,1762291946.857090,2.507885,2.581800,0.003943,0.040900
1445456,1762291946.857103,2.507246,2.580840,0.003623,0.040420
1445472,1762291946.873458,2.508525,2.581480,0.004263,0.040740
1445472,1762291946.873497,2.507565,2.581480,0.003783,0.040740
1445472,1762291946.873503,2.508205,2.580520,0.004103,0.040260
1445472,1762291946.873508,2.507565,2.580840,0.003783,0.040420
1445475,1762291946.876242,2.507565,2.578920,0.003783,0.039460
1445475,1762291946.876250,2.507885,2.579880,0.003943,0.039940
1445475,1762291946.876739,2.507565,2.578920,0.003783,0.039460
1445475,1762291946.876793,2.508205,2.578600,0.004103,0.039300
1445476,1762291946.877194,2.507565,2.578280,0.003783,0.039140
1445476,1762291946.877215,2.509165,2.577000,0.004583,0.038500
1445476,1762291946.877470,2.507246,2.577640,0.003623,0.038820
1445476,1762291946.877488,2.507565,2.576041,0.003783,0.038020
1445476,1762291946.877504,2.507246,2.577000,0.003623,0.038500
1445476,1762291946.877517,2.507565,2.574441,0.003783,0.037220
1445476,1762291946.877531,2.507885,2.575081,0.003943,0.037540
1445476,1762291946.877544,2.506926,2.574121,0.003463,0.037060
1445476,1762291946.877915,2.509165,2.572201,0.004583,0.036100
1445477,1762291946.877970,2.507885,2.573161,0.003943,0.036580
1445477,1762291946.878016,2.508205,2.570601,0.004103,0.035300
1445477,1762291946.878035,2.507885,2.571881,0.003943,0.035940
1445487,1762291946.888383,2.507246,2.569321,0.003623,0.034661
1445488,1762291946.889138,2.507885,2.569961,0.003943,0.034980
1445488,1762291946.889161,2.507246,2.569321,0.003623,0.034661
1445488,1762291946.889167,2.507885,2.567721,0.003943,0.033861
1445488,1762291946.889219,2.507565,2.566441,0.003783,0.033221
1445488,1762291946.889226,2.506926,2.565481,0.003463,0.032741
1445488,1762291946.889232,2.506926,2.565481,0.003463,0.032741
1445488,1762291946.889237,2.506926,2.563241,0.003463,0.031621
1445488,1762291946.889258,2.507565,2.562601,0.003783,0.031301
1445488,1762291946.889722,2.506606,2.561962,0.003303,0.030981
1445489,1762291946.889941,2.506926,2.561642,0.003463,0.030821
1445489,1762291946.889978,2.505966,2.560362,0.002983,0.030181
1445489,1762291946.889997,2.506286,2.560682,0.003143,0.030341
1445489,1762291946.890003,2.506606,2.558442,0.003303,0.029221
1445489,1762291946.890026,2.506606,2.559402,0.003303,0.029701
1445489,1762291946.890032,2.506286,2.556202,0.003143,0.028101
1445489,1762291946.890037,2.505966,2.555242,0.002983,0.027621
1445489,1762291946.890042,2.505326,2.555882,0.002663,0.027941
1445489,1762291946.890455,2.505966,2.554602,0.002983,0.027301
1445489,1762291946.890490,2.505966,2.554282,0.002983,0.027141
1445503,1762291946.904368,2.505646,2.552682,0.002823,0.026341
1445503,1762291946.904385,2.504686,2.552042,0.002343,0.026021
1445503,1762291946.904389,2.505326,2.551722,0.002663,0.025861
1445503,1762291946.904393,2.504686,2.551722,0.002343,0.025861
1445503,1762291946.904397,2.504366,2.549162,0.002183,0.024581
1445503,1762291946.904400,2.505006,2.549802,0.002503,0.024901
1445503,1762291946.904404,2.504686,2.549482,0.002343,0.024741
1445503,1762291946.904408,2.504366,2.546923,0.002183,0.023461
1445503,1762291946.904411,2.505006,2.546923,0.002503,0.023461
1445503,1762291946.904415,2.504686,2.545323,0.002343,0.022661
1445519,1762291946.920580,2.503726,2.545003,0.001863,0.022501
1445519,1762291946.920635,2.505326,2.544683,0.002663,0.022341
1445519,1762291946.920685,2.504046,2.544043,0.002023,0.022021
1445519,1762291946.920698,2.504366,2.542763,0.002183,0.021381
1445519,1762291946.920704,2.504046,2.542443,0.002023,0.021221
1445519,1762291946.920709,2.503726,2.541483,0.001863,0.020742
1445519,1762291946.920716,2.504046,2.541803,0.002023,0.020902
1445519,1762291946.920719,2.503406,2.540523,0.001703,0.020262
1445519,1762291946.920723,2.503726,2.539563,0.001863,0.019782
1445519,1762291946.920727,2.503406,2.538603,0.001703,0.019302
1445535,1762291946.936570,2.504046,2.537643,0.002023,0.018822
1445536,1762291946.937611,2.502766,2.538283,0.001383,0.019142
1445536,1762291946.937633,2.502766,2.536683,0.001383,0.018342
1445536,1762291946.937640,2.503406,2.536043,0.001703,0.018022
1445536,1762291946.937646,2.503406,2.537003,0.001703,0.018502
1445536,1762291946.937652,2.502446,2.536043,0.001223,0.018022
1445536,1762291946.937657,2.502446,2.533804,0.001223,0.016902
1445536,1762291946.937661,2.502766,2.534124,0.001383,0.017062
1445536,1762291946.937665,2.503086,2.533804,0.001543,0.016902
1445536,1762291946.937675,2.502446,2.533484,0.001223,0.016742
1445540,1762291946.941500,2.502126,2.533164,0.001063,0.016582
1445540,1762291946.941540,2.502126,2.532204,0.001063,0.016102
1445540,1762291946.941556,2.502126,2.531884,0.001063,0.015942
1445540,1762291946.941839,2.501166,2.531564,0.000583,0.015782
1445540,1762291946.941853,2.502766,2.531884,0.001383,0.015942
1445540,1762291946.941857,2.501166,2.531244,0.000583,0.015622
1445540,1762291946.941862,2.501486,2.530924,0.000743,0.015462
1445540,1762291946.941868,2.501806,2.529964,0.000903,0.014982
1445540,1762291946.941872,2.500846,2.529964,0.000423,0.014982
1445540,1762291946.941877,2.501166,2.529644,0.000583,0.014822
1445551,1762291946.952421,2.500846,2.529324,0.000423,0.014662
1445551,1762291946.952482,2.500526,2.529324,0.000263,0.014662
1445551,1762291946.952504,2.500846,2.529004,0.000423,0.014502
1445551,1762291946.952509,2.500206,2.529644,0.000103,0.014822
1445551,1762291946.952561,2.500846,2.528044,0.000423,0.014022
1445551,1762291946.952598,2.500846,2.528044,0.000423,0.014022
1445551,1762291946.952613,2.499886,2.528044,-0.000057,0.014022
1445551,1762291946.952627,2.499886,2.527404,-0.000057,0.013702
1445551,1762291946.952641,2.499886,2.527724,-0.000057,0.013862
1445551,1762291946.952676,2.500206,2.527084,0.000103,0.013542
1445552,1762291946.953680,2.500206,2.526444,0.000103,0.013222
1445552,1762291946.953702,2.500206,2.526764,0.000103,0.013382
1445552,1762291946.953709,2.500846,2.526124,0.000423,0.013062
1445552,1762291946.953715,2.501166,2.526444,0.000583,0.013222
1445552,1762291946.953720,2.499886,2.526444,-0.000057,0.013222
1445552,1762291946.953725,2.501166,2.526444,0.000583,0.013222
1445552,1762291946.953739,2.500526,2.525484,0.000263,0.012742
1445552,1762291946.953746,2.499566,2.526764,-0.000217,0.013382
1445552,1762291946.953787,2.499886,2.525804,-0.000057,0.012902
1445552,1762291946.953851,2.501486,2.525804,0.000743,0.012902
1445567,1762291946.968567,2.501486,2.525804,0.000743,0.012902
1445567,1762291946.968588,2.500846,2.525804,0.000423,0.012902
1445567,1762291946.968595,2.501166,2.525804,0.000583,0.012902
1445567,1762291946.968600,2.499566,2.525484,-0.000217,0.012742
1445568,1762291946.969642,2.500846,2.525804,0.000423,0.012902
1445568,1762291946.969716,2.499886,2.527404,-0.000057,0.013702
1445568,1762291946.969732,2.501486,2.526124,0.000743,0.013062
1445568,1762291946.969798,2.501486,2.526124,0.000743,0.013062
1445568,1762291946.969825,2.501166,2.527404,0.000583,0.013702
1445568,1762291946.969832,2.500526,2.527404,0.000263,0.013702
1445583,1762291946.984330,2.500846,2.528044,0.000423,0.014022
1445583,1762291946.984355,2.501806,2.528684,0.000903,0.014342
1445583,1762291946.984396,2.502446,2.528364,0.001223,0.014182
1445583,1762291946.984419,2.500526,2.529324,0.000263,0.014662
1445583,1762291946.984430,2.502126,2.527724,0.001063,0.013862
1445583,1762291946.984440,2.501486,2.528684,0.000743,0.014342
1445583,1762291946.984450,2.500846,2.529644,0.000423,0.014822
1445583,1762291946.984460,2.502126,2.529964,0.001063,0.014982
1445583,1762291946.984472,2.501166,2.530284,0.000583,0.015142
1445583,1762291946.984483,2.502126,2.529964,0.001063,0.014982
1445583,1762291946.984740,2.502126,2.531564,0.001063,0.015782
