time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1196232,1762291697.044543,ACCEL,0,0.00000,0.12000,0.06749,1196232
1196237,1762291697.146228,ACCEL,1,0.00491,0.12000,0.06763,1196237
1196242,1762291697.146276,ACCEL,1,0.00491,0.12000,0.06763,1196242
1196247,1762291697.146306,ACCEL,1,0.00491,0.12000,0.06763,1196247
1196252,1762291697.146329,ACCEL,1,0.00491,0.12000,0.06763,1196252
1196257,1762291697.146352,ACCEL,1,0.00491,0.12000,0.06763,1196257
1196262,1762291697.146522,ACCEL,1,0.00491,0.12000,0.06763,1196262
1196267,1762291697.146554,ACCEL,1,0.00491,0.12000,0.06763,1196267
1196272,1762291697.146570,ACCEL,1,0.00491,0.12000,0.06763,1196272
1196277,1762291697.146585,ACCEL,2,0.00982,0.12000,0.06776,1196277
1196282,1762291697.146600,ACCEL,2,0.00982,0.12000,0.06776,1196282
1196287,1762291697.146614,ACCEL,2,0.00982,0.12000,0.06776,1196287
1196292,1762291697.146628,ACCEL,2,0.00982,0.12000,0.06776,1196292
1196297,1762291697.147815,ACCEL,2,0.00982,0.12000,0.06776,1196297
1196302,1762291697.148334,ACCEL,2,0.00982,0.12000,0.06776,1196302
1196307,1762291697.148357,ACCEL,2,0.00982,0.12000,0.06776,1196307
1196312,1762291697.148844,ACCEL,2,0.00982,0.12000,0.06776,1196312
1196317,1762291697.148887,ACCEL,3,0.01473,0.12000,0.06790,1196317
1196322,1762291697.148913,ACCEL,3,0.01473,0.12000,0.06790,1196322
1196327,1762291697.148940,ACCEL,3,0.01473,0.12000,0.06790,1196327
1196332,1762291697.148958,ACCEL,3,0.01473,0.12000,0.06790,1196332
1196337,1762291697.150702,ACCEL,3,0.01473,0.12000,0.06790,1196337
1196342,1762291697.150727,ACCEL,3,0.01473,0.12000,0.06790,1196342
1196347,1762291697.150737,ACCEL,3,0.01473,0.12000,0.06790,1196347
1196352,1762291697.150798,ACCEL,3,0.01473,0.12000,0.06790,1196352
1196357,1762291697.150822,ACCEL,4,0.01963,0.12000,0.06803,1196357
1196362,1762291697.150876,ACCEL,4,0.01963,0.12000,0.06803,1196362
1196367,1762291697.150891,ACCEL,4,0.01963,0.12000,0.06803,1196367
1196372,1762291697.150900,ACCEL,4,0.01963,0.12000,0.06803,1196372
1196377,1762291697.150924,ACCEL,4,0.01963,0.12000,0.06803,1196377
1196382,1762291697.151027,ACCEL,4,0.01963,0.12000,0.06803,1196382
1196387,1762291697.151057,ACCEL,4,0.01963,0.12000,0.06803,1196387
1196392,1762291697.151090,ACCEL,4,0.01963,0.12000,0.06803,1196392
1196397,1762291697.151114,ACCEL,4,0.01963,0.12000,0.06803,1196397
1196402,1762291697.151127,ACCEL,5,0.02454,0.12000,0.06817,1196402
1196407,1762291697.151138,ACCEL,5,0.02454,0.12000,0.06817,1196407
1196412,1762291697.152828,ACCEL,5,0.02454,0.12000,0.06817,1196412
1196417,1762291697.152855,ACCEL,5,0.02454,0.12000,0.06817,1196417
1196422,1762291697.152878,ACCEL,5,0.02454,0.12000,0.06817,1196422
1196427,1762291697.152888,ACCEL,5,0.02454,0.12000,0.06817,1196427
1196432,1762291697.152894,ACCEL,5,0.02454,0.12000,0.06817,1196432
1196437,1762291697.152902,ACCEL,5,0.02454,0.12000,0.06817,1196437
1196442,1762291697.152909,ACCEL,6,0.02945,0.12000,0.06831,1196442
1196447,1762291697.152916,ACCEL,6,0.02945,0.12000,0.06831,1196447
1196452,1762291697.152922,ACCEL,6,0.02945,0.12000,0.06831,1196452
1196457,1762291697.152928,ACCEL,6,0.02945,0.12000,0.06831,1196457
1196462,1762291697.152988,ACCEL,6,0.02945,0.12000,0.06831,1196462
1196467,1762291697.153034,ACCEL,6,0.02945,0.12000,0.06831,1196467
1196472,1762291697.153066,ACCEL,6,0.02945,0.12000,0.06831,1196472
1196477,1762291697.153087,ACCEL,6,0.02945,0.12000,0.06831,1196477
1196602,1762291697.413231,ACCEL,9,0.04418,0.12000,0.06872,1196602
1196607,1762291697.413255,ACCEL,10,0.04909,0.12000,0.06885,1196607
1196612,1762291697.413264,ACCEL,10,0.04909,0.12000,0.06885,1196612
1196617,1762291697.413274,ACCEL,10,0.04909,0.12000,0.06885,1196617
1196622,1762291697.413281,ACCEL,10,0.04909,0.12000,0.06885,1196622
1196627,1762291697.413288,ACCEL,10,0.04909,0.12000,0.06885,1196627
1196632,1762291697.413294,ACCEL,10,0.04909,0.12000,0.06885,1196632
