time_ms,time_ts,chatter
1762291743999,1762291743.999075,"-- Current Config --"
1762291743999,1762291743.999314,"MOTOR_STEP_DEG=1.800"
1762291743999,1762291743.999443,"WHEEL_DIAM_IN=3.750"
1762291744000,1762291744.000360,"ACCEL_FT=4.000"
1762291744002,1762291744.002373,"CRUISE_FT=10.000"
1762291744002,1762291744.002435,"DECEL_FT=4.000"
1762291744002,1762291744.002477,"VMAX_FPS=3.000"
1762291744002,1762291744.002534,"PAUSE_MS=10000"
1762291744002,1762291744.002581,"REWIND_TIME_S=30"
1762291744002,1762291744.002620,"DIR_INV=0"
1762291744003,1762291744.003024,"RATE_HZ=200"
1762291744003,1762291744.003234,"REWIND_CAL_IN=1.000"
1762291744004,1762291744.004021,"START received."
1762291744004,1762291744.004261,"=== PLAN (before motion) ==="
1762291744008,1762291744.008339,"Wheel dia=3.750 in, circ=0.98175 ft"
1762291744008,1762291744.008397,"steps/rev=200.0, steps/ft=203.72"
1762291744008,1762291744.008432,"Vpeak (ft/s)=3.000"
1762291744008,1762291744.008465,"Accel a (ft/s^2)=1.125"
1762291744008,1762291744.008510,"Decel d (ft/s^2)=1.125"
1762291744008,1762291744.008539,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762291744008,1762291744.008574,"Rewind early-stop (in): 1.000"
1762291744008,1762291744.008916,"=== END PLAN ==="
1762291744008,1762291744.008946,"=== COUNTDOWN ==="
1762291744008,1762291744.008971,"5"
1762291745977,1762291745.977406,"3"
1762291746989,1762291746.989553,"WHISTLE!"
1762291747991,1762291747.991240,"1"
1250285,1762291751.230315,"0.14498,0.08972,1250320"
1259075,1762291760.022761,"1.55512,-1.21691,1259115"
1261535,1762291762.466823,"0.00000,0.00000,1261555"
1262595,1762291763.541830,"0.00000,1262620"
1262865,1762291763.822061,"0.00000,1262885"
1265050,1762291766.009877,"0.00000,1265075"
1265320,1762291766.280327,"0.00000,0.00000,1265350"
1265865,1762291766.830091,"0.00000,1265895"
1266420,1762291767.393758,"0.00000,0.00000,1266450"
1268070,1762291769.040400,"0.00000,1268100"
1268345,1762291769.318807,"0.00000,1268375"
1268620,1762291769.599091,"18.00034,0.00000,0.00000,1268655"
1268900,1762291769.881683,"0.00000,0.00000,1268935"
1270010,1762291770.985682,"0.00000,1270045"
1271370,1762291772.343558,"1.00000,0.00000,1271395"
1274170,1762291775.165719,"1.00000,0.00000,1274205"
1275875,1762291776.838128,"0.00000,1275890"
1276410,1762291777.405719,"0.00000,1276450"
1278630,1762291779.595228,"0.00000,1278650"
1279165,1762291780.150094,"1.00000,0.00000,1279200"
1279715,1762291780.708080,"0.00000,1279755"
1280000,1762291780.991743,"0.00000,1280025"
1280270,1762291781.254019,"1.00000,0.00000,1280310"
1283045,1762291784.005268,"4.92837,-1.00000,0.00000,1283060"
1283830,1762291784.796750,"4.13316,-1.00000,0.00000,1283850"
1284355,1762291785.340829,"1.00000,0.00000,1284375"
1285440,1762291786.425708,"1.00000,0.00000,1285465"
1286530,1762291787.526699,"0.00000,1286560"
1287085,1762291788.068043,"0.00000,1287105"
1287970,1762291788.732674,"=== RUN END ==="
1287970,1762291788.770391,"Type START to run again, or SHOW to view config."
