time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
1032041,1762291532.607491,ACCEL,0,0.00000,0.12000,0.06749,1032041
1032046,1762291532.708808,ACCEL,1,0.00491,0.12000,0.06763,1032046
1032051,1762291532.708842,ACCEL,1,0.00491,0.12000,0.06763,1032051
1032056,1762291532.708852,ACCEL,1,0.00491,0.12000,0.06763,1032056
1032061,1762291532.708860,ACCEL,1,0.00491,0.12000,0.06763,1032061
1032066,1762291532.708870,ACCEL,1,0.00491,0.12000,0.06763,1032066
1032071,1762291532.708878,ACCEL,1,0.00491,0.12000,0.06763,1032071
1032076,1762291532.708888,ACCEL,1,0.00491,0.12000,0.06763,1032076
1032081,1762291532.708895,ACCEL,1,0.00491,0.12000,0.06763,1032081
1032086,1762291532.708938,ACCEL,2,0.00982,0.12000,0.06776,1032086
1032091,1762291532.708965,ACCEL,2,0.00982,0.12000,0.06776,1032091
1032096,1762291532.708976,ACCEL,2,0.00982,0.12000,0.06776,1032096
1032101,1762291532.709005,ACCEL,2,0.00982,0.12000,0.06776,1032101
1032106,1762291532.709015,ACCEL,2,0.00982,0.12000,0.06776,1032106
1032111,1762291532.709023,ACCEL,2,0.00982,0.12000,0.06776,1032111
1032116,1762291532.709030,ACCEL,2,0.00982,0.12000,0.06776,1032116
1032121,1762291532.709037,ACCEL,2,0.00982,0.12000,0.06776,1032121
1032126,1762291532.709046,ACCEL,3,0.01473,0.12000,0.06790,1032126
1032131,1762291532.709054,ACCEL,3,0.01473,0.12000,0.06790,1032131
1032136,1762291532.709061,ACCEL,3,0.01473,0.12000,0.06790,1032136
1032141,1762291532.709068,ACCEL,3,0.01473,0.12000,0.06790,1032141
1032146,1762291532.709075,ACCEL,3,0.01473,0.12000,0.06790,1032146
1032151,1762291532.709092,ACCEL,3,0.01473,0.12000,0.06790,1032151
1032156,1762291532.709099,ACCEL,3,0.01473,0.12000,0.06790,1032156
1032161,1762291532.709106,ACCEL,3,0.01473,0.12000,0.06790,1032161
1032166,1762291532.709114,ACCEL,4,0.01963,0.12000,0.06803,1032166
1032171,1762291532.709121,ACCEL,4,0.01963,0.12000,0.06803,1032171
1032176,1762291532.709129,ACCEL,4,0.01963,0.12000,0.06803,1032176
1032181,1762291532.709136,ACCEL,4,0.01963,0.12000,0.06803,1032181
1032186,1762291532.709143,ACCEL,4,0.01963,0.12000,0.06803,1032186
1032191,1762291532.709151,ACCEL,4,0.01963,0.12000,0.06803,1032191
1032196,1762291532.709157,ACCEL,4,0.01963,0.12000,0.06803,1032196
1032201,1762291532.709165,ACCEL,4,0.01963,0.12000,0.06803,1032201
1032206,1762291532.709176,ACCEL,4,0.01963,0.12000,0.06803,1032206
1032211,1762291532.709183,ACCEL,5,0.02454,0.12000,0.06817,1032211
1032216,1762291532.709190,ACCEL,5,0.02454,0.12000,0.06817,1032216
1032221,1762291532.709197,ACCEL,5,0.02454,0.12000,0.06817,1032221
1032226,1762291532.709204,ACCEL,5,0.02454,0.12000,0.06817,1032226
1032231,1762291532.709211,ACCEL,5,0.02454,0.12000,0.06817,1032231
1032236,1762291532.709216,ACCEL,5,0.02454,0.12000,0.06817,1032236
1032241,1762291532.709224,ACCEL,5,0.02454,0.12000,0.06817,1032241
1032246,1762291532.709231,ACCEL,5,0.02454,0.12000,0.06817,1032246
1032251,1762291532.709238,ACCEL,6,0.02945,0.12000,0.06831,1032251
1032256,1762291532.709245,ACCEL,6,0.02945,0.12000,0.06831,1032256
1032261,1762291532.709252,ACCEL,6,0.02945,0.12000,0.06831,1032261
1032266,1762291532.709259,ACCEL,6,0.02945,0.12000,0.06831,1032266
1032271,1762291532.709266,ACCEL,6,0.02945,0.12000,0.06831,1032271
1032276,1762291532.709273,ACCEL,6,0.02945,0.12000,0.06831,1032276
1032281,1762291532.709280,ACCEL,6,0.02945,0.12000,0.06831,1032281
1032286,1762291532.709287,ACCEL,6,0.02945,0.12000,0.06831,1032286
1032401,1762291532.967990,ACCEL,9,0.04418,0.12000,0.06872,1032401
1032406,1762291532.968023,ACCEL,9,0.04418,0.12000,0.06872,1032406
1032411,1762291532.968034,ACCEL,9,0.04418,0.12000,0.06872,1032411
1032416,1762291532.968044,ACCEL,10,0.04909,0.12000,0.06885,1032416
1032421,1762291532.968053,ACCEL,10,0.04909,0.12000,0.06885,1032421
1032426,1762291532.968061,ACCEL,10,0.04909,0.12000,0.06885,1032426
1032431,1762291532.968069,ACCEL,10,0.04909,0.12000,0.06885,1032431
1032436,1762291532.968077,ACCEL,10,0.04909,0.12000,0.06885,1032436
1032441,1762291532.968086,ACCEL,10,0.04909,0.12000,0.06885,1032441
1032446,1762291532.968093,ACCEL,10,0.04909,0.12000,0.06885,1032446
1032451,1762291532.968101,ACCEL,10,0.04909,0.12000,0.06885,1032451
1032456,1762291532.968109,ACCEL,11,0.05400,0.12000,0.06899,1032456
1032461,1762291532.968116,ACCEL,11,0.05400,0.12000,0.06899,1032461
1032466,1762291532.968124,ACCEL,11,0.05400,0.12000,0.06899,1032466
1032471,1762291532.968131,ACCEL,11,0.05400,0.12000,0.06899,1032471
1032476,1762291532.968140,ACCEL,11,0.05400,0.12000,0.06899,1032476
1032481,1762291532.968148,ACCEL,11,0.05400,0.12000,0.06899,1032481
1032486,1762291532.968155,ACCEL,11,0.05400,0.12000,0.06899,1032486
1032491,1762291532.968163,ACCEL,11,0.05400,0.12000,0.06899,1032491
1032496,1762291532.968170,ACCEL,12,0.05890,0.12000,0.06912,1032496
1032501,1762291532.968178,ACCEL,12,0.05890,0.12000,0.06912,1032501
1032506,1762291532.968186,ACCEL,12,0.05890,0.12000,0.06912,1032506
1032511,1762291532.968193,ACCEL,12,0.05890,0.12000,0.06912,1032511
1032516,1762291532.968200,ACCEL,12,0.05890,0.12000,0.06912,1032516
1032521,1762291532.968210,ACCEL,12,0.05890,0.12000,0.06912,1032521
1032526,1762291532.968217,ACCEL,12,0.05890,0.12000,0.06912,1032526
1032531,1762291532.968225,ACCEL,12,0.05890,0.12000,0.06912,1032531
1032536,1762291532.968234,ACCEL,13,0.06381,0.12000,0.06926,1032536
1032541,1762291532.968241,ACCEL,13,0.06381,0.12000,0.06926,1032541
1032546,1762291532.968249,ACCEL,13,0.06381,0.12000,0.06926,1032546
1032551,1762291532.968256,ACCEL,13,0.06381,0.12000,0.06926,1032551
1032556,1762291532.968263,ACCEL,13,0.06381,0.12000,0.06926,1032556
1032561,1762291532.968270,ACCEL,13,0.06381,0.12000,0.06926,1032561
1032566,1762291532.968277,ACCEL,13,0.06381,0.12000,0.06926,1032566
1032571,1762291532.968284,ACCEL,13,0.06381,0.12000,0.06926,1032571
1032576,1762291532.968291,ACCEL,14,0.06872,0.12000,0.06940,1032576
1032581,1762291532.968298,ACCEL,14,0.06872,0.12000,0.06940,1032581
1032586,1762291532.968305,ACCEL,14,0.06872,0.12000,0.06940,1032586
1032591,1762291532.968312,ACCEL,14,0.06872,0.12000,0.06940,1032591
1032596,1762291532.968319,ACCEL,14,0.06872,0.12000,0.06940,1032596
1032601,1762291532.968326,ACCEL,14,0.06872,0.12000,0.06940,1032601
1032606,1762291532.968334,ACCEL,14,0.06872,0.12000,0.06940,1032606
1032611,1762291532.968341,ACCEL,14,0.06872,0.12000,0.06940,1032611
1032616,1762291532.968350,ACCEL,15,0.07363,0.12000,0.06953,1032616
1032621,1762291532.968357,ACCEL,15,0.07363,0.12000,0.06953,1032621
1032626,1762291532.968364,ACCEL,15,0.07363,0.12000,0.06953,1032626
1032631,1762291532.968400,ACCEL,15,0.07363,0.12000,0.06953,1032631
1032636,1762291532.968418,ACCEL,15,0.07363,0.12000,0.06953,1032636
1032641,1762291532.968428,ACCEL,15,0.07363,0.12000,0.06953,1032641
1032646,1762291532.968435,ACCEL,15,0.07363,0.12000,0.06953,1032646
1032661,1762291533.228365,ACCEL,16,0.07854,0.12000,0.06967,1032661
1032666,1762291533.228387,ACCEL,16,0.07854,0.12000,0.06967,1032666
1032671,1762291533.228397,ACCEL,16,0.07854,0.12000,0.06967,1032671
1032676,1762291533.228405,ACCEL,16,0.07854,0.12000,0.06967,1032676
1032681,1762291533.228412,ACCEL,16,0.07854,0.12000,0.06967,1032681
1032686,1762291533.228419,ACCEL,16,0.07854,0.12000,0.06967,1032686
1032691,1762291533.228426,ACCEL,16,0.07854,0.12000,0.06967,1032691
