time_ms,time_ts,chatter
1762291527316,1762291527.316952,"-- Current Config --"
1762291527318,1762291527.318513,"MOTOR_STEP_DEG=1.800"
1762291527318,1762291527.318693,"WHEEL_DIAM_IN=3.750"
1762291527318,1762291527.318823,"ACCEL_FT=4.000"
1762291527319,1762291527.319321,"CRUISE_FT=10.000"
1762291527319,1762291527.319391,"DECEL_FT=4.000"
1762291527319,1762291527.319427,"VMAX_FPS=3.000"
1762291527319,1762291527.319458,"PAUSE_MS=10000"
1762291527319,1762291527.319487,"REWIND_TIME_S=30"
1762291527319,1762291527.319625,"DIR_INV=0"
1762291527319,1762291527.319699,"RATE_HZ=200"
1762291527319,1762291527.319742,"REWIND_CAL_IN=1.000"
1762291527377,1762291527.377165,"START received."
1762291527377,1762291527.377622,"=== PLAN (before motion) ==="
1762291527381,1762291527.381622,"Wheel dia=3.750 in, circ=0.98175 ft"
1762291527381,1762291527.381693,"steps/rev=200.0, steps/ft=203.72"
1762291527382,1762291527.382124,"Vpeak (ft/s)=3.000"
1762291527382,1762291527.382217,"Accel a (ft/s^2)=1.125"
1762291527382,1762291527.382551,"Decel d (ft/s^2)=1.125"
1762291527382,1762291527.382889,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762291527383,1762291527.383218,"Rewind early-stop (in): 1.000"
1762291527384,1762291527.384596,"=== END PLAN ==="
1762291527384,1762291527.384660,"=== COUNTDOWN ==="
1762291527384,1762291527.384737,"5"
1762291528379,1762291528.379631,"4"
1762291529380,1762291529.380706,"3"
1762291530379,1762291530.379488,"WHISTLE!"
1762291531380,1762291531.380672,"1"
1034766,1762291535.364254,"0.22897,0.14850,1034781"
1035026,1762291535.645896,"0.27406,0.18187,1035056"
1035301,1762291535.902681,"0.33019,0.22502,1035331"
1039291,1762291539.906711,"0.00000,1039321"
1042256,1762291542.854135,"1.86872,1042271"
1044141,1762291544.761350,"0.00000,1044161"
1048296,1762291548.938632,"0.00000,1048326"
1049681,1762291550.325438,"0.00000,1049716"
1050236,1762291550.880155,"0.00000,0.00000,1050266"
1050511,1762291551.154833,"0.00000,1050541"
1053291,1762291553.957046,"0.00000,1053326"
1054686,1762291555.335996,"17.05296,-1.00000,0.00000,1054711"
1055531,1762291556.173867,"0.00000,1055556"
1055801,1762291556.443282,"1.00000,0.00000,1055831"
1056076,1762291556.721510,"1.00000,0.00000,1056096"
1056901,1762291557.568008,"1.00000,0.00000,1056941"
1058331,1762291558.979239,"13.38613,-1.00000,0.00000,1058361"
1058876,1762291559.534881,"0.00000,1058906"
1060801,1762291561.451429,"1.00000,0.00000,1060821"
1064061,1762291564.719230,"1.00000,0.00000,1064081"
1064616,1762291565.261502,"0.00000,1064641"
1065411,1762291566.051909,"1.00000,0.00000,1065431"
1067286,1762291567.940799,"1.00000,0.00000,1067306"
1067826,1762291568.485625,"0.00000,1067856"
1069476,1762291570.143515,"2.18930,-1.00000,0.00000,1069506"
1070301,1762291570.975853,"0.00000,1070326"
1070856,1762291571.551378,"0.00000,1070896"
1071686,1762291572.129419,"=== RUN END ==="
1071686,1762291572.178800,"Type START to run again, or SHOW to view config."
