time_ms,time_ts,v4,v5,g4,g5
1032058,1762291532.838381,2.506606,2.523244,0.003303,0.011622
1032058,1762291532.838441,2.506286,2.524204,0.003143,0.012102
1032058,1762291532.838456,2.506926,2.523244,0.003463,0.011622
1032058,1762291532.838488,2.505966,2.524844,0.002983,0.012422
1032058,1762291532.838498,2.506606,2.524204,0.003303,0.012102
1032058,1762291532.838515,2.506606,2.524844,0.003303,0.012422
1032058,1762291532.838524,2.505966,2.525164,0.002983,0.012582
1032058,1762291532.838533,2.505646,2.526444,0.002823,0.013222
1032058,1762291532.838542,2.505646,2.526444,0.002823,0.013222
1032062,1762291532.842988,2.504686,2.527084,0.002343,0.013542
1032072,1762291532.852789,2.505646,2.529004,0.002823,0.014502
1032073,1762291532.853900,2.505326,2.527404,0.002663,0.013702
1032073,1762291532.853921,2.506606,2.529324,0.003303,0.014662
1032073,1762291532.853942,2.505326,2.529964,0.002663,0.014982
1032073,1762291532.853948,2.505326,2.530604,0.002663,0.015302
1032073,1762291532.853954,2.506606,2.530924,0.003303,0.015462
1032073,1762291532.853958,2.505966,2.532844,0.002983,0.016422
1032073,1762291532.853962,2.506286,2.531564,0.003143,0.015782
1032073,1762291532.853965,2.506926,2.534444,0.003463,0.017222
1032073,1762291532.853969,2.505966,2.536043,0.002983,0.018022
1032089,1762291532.869762,2.505646,2.535083,0.002823,0.017542
1032089,1762291532.869797,2.506606,2.537003,0.003303,0.018502
1032089,1762291532.869860,2.507246,2.537963,0.003623,0.018982
1032089,1762291532.869877,2.505646,2.538923,0.002823,0.019462
1032089,1762291532.869885,2.506606,2.539243,0.003303,0.019622
1032089,1762291532.869891,2.506926,2.541163,0.003463,0.020582
1032089,1762291532.869897,2.506926,2.541163,0.003463,0.020582
1032089,1762291532.869903,2.506926,2.542763,0.003463,0.021381
1032089,1762291532.869908,2.506926,2.545323,0.003463,0.022661
1032089,1762291532.869913,2.506606,2.544683,0.003303,0.022341
1032104,1762291532.884846,2.506286,2.546603,0.003143,0.023301
1032104,1762291532.884876,2.506286,2.545643,0.003143,0.022821
1032104,1762291532.884904,2.507885,2.546923,0.003943,0.023461
1032104,1762291532.884924,2.507246,2.547883,0.003623,0.023941
1032104,1762291532.884932,2.505646,2.550122,0.002823,0.025061
1032104,1762291532.884939,2.506286,2.549482,0.003143,0.024741
1032104,1762291532.884947,2.507246,2.551402,0.003623,0.025701
1032104,1762291532.884993,2.507565,2.551722,0.003783,0.025861
1032104,1762291532.885016,2.506926,2.552042,0.003463,0.026021
1032105,1762291532.885421,2.506606,2.553322,0.003303,0.026661
1032106,1762291532.887208,2.506286,2.552682,0.003143,0.026341
1032106,1762291532.887227,2.507885,2.553962,0.003943,0.026981
1032106,1762291532.887236,2.506606,2.554602,0.003303,0.027301
1032106,1762291532.887243,2.506926,2.554602,0.003463,0.027301
1032106,1762291532.887249,2.506606,2.554602,0.003303,0.027301
1032106,1762291532.887256,2.507565,2.553642,0.003783,0.026821
1032106,1762291532.887263,2.507885,2.554922,0.003943,0.027461
1032106,1762291532.887270,2.506926,2.555562,0.003463,0.027781
1032107,1762291532.887320,2.507565,2.554282,0.003783,0.027141
1032107,1762291532.887341,2.508205,2.554602,0.004103,0.027301
1032120,1762291532.901259,2.508205,2.554922,0.004103,0.027461
1032121,1762291532.901297,2.508205,2.555242,0.004103,0.027621
1032121,1762291532.901304,2.508845,2.555242,0.004423,0.027621
1032121,1762291532.901309,2.508525,2.554602,0.004263,0.027301
1032121,1762291532.901315,2.509165,2.553642,0.004583,0.026821
1032121,1762291532.901320,2.509165,2.554602,0.004583,0.027301
1032121,1762291532.901325,2.509165,2.553322,0.004583,0.026661
1032121,1762291532.901330,2.508525,2.554282,0.004263,0.027141
1032121,1762291532.901335,2.509485,2.553322,0.004743,0.026661
1032121,1762291532.901340,2.509485,2.552682,0.004743,0.026341
1032137,1762291532.917283,2.510125,2.553642,0.005063,0.026821
1032138,1762291532.918331,2.509485,2.551722,0.004743,0.025861
1032138,1762291532.918380,2.509165,2.552042,0.004583,0.026021
1032138,1762291532.918482,2.508845,2.550442,0.004423,0.025221
1032138,1762291532.918517,2.510445,2.550762,0.005223,0.025381
1032138,1762291532.918533,2.509805,2.551082,0.004903,0.025541
1032138,1762291532.919139,2.509485,2.550762,0.004743,0.025381
1032139,1762291532.919635,2.509165,2.549482,0.004583,0.024741
1032142,1762291532.922810,2.508845,2.549482,0.004423,0.024741
1032142,1762291532.922839,2.509805,2.548203,0.004903,0.024101
1032143,1762291532.923789,2.509805,2.546283,0.004903,0.023141
1032143,1762291532.923828,2.508845,2.546923,0.004423,0.023461
1032143,1762291532.923843,2.509485,2.544363,0.004743,0.022181
1032143,1762291532.924142,2.508845,2.544683,0.004423,0.022341
1032143,1762291532.924154,2.509165,2.544363,0.004583,0.022181
1032143,1762291532.924162,2.509165,2.543723,0.004583,0.021861
1032143,1762291532.924170,2.509165,2.542763,0.004583,0.021381
1032143,1762291532.924180,2.508845,2.542443,0.004423,0.021221
1032143,1762291532.924187,2.508525,2.541803,0.004263,0.020902
1032143,1762291532.924194,2.508525,2.541483,0.004263,0.020742
1032154,1762291532.935025,2.509165,2.539883,0.004583,0.019942
1032155,1762291532.935490,2.508525,2.538603,0.004263,0.019302
1032155,1762291532.935514,2.509485,2.537643,0.004743,0.018822
1032155,1762291532.935529,2.509165,2.537003,0.004583,0.018502
1032155,1762291532.935561,2.507885,2.537643,0.003943,0.018822
1032155,1762291532.935570,2.508525,2.535723,0.004263,0.017862
1032155,1762291532.935577,2.508525,2.535083,0.004263,0.017542
1032155,1762291532.935602,2.508845,2.535083,0.004423,0.017542
1032155,1762291532.935610,2.507885,2.534444,0.003943,0.017222
1032155,1762291532.935616,2.509165,2.534444,0.004583,0.017222
1032155,1762291532.936058,2.509165,2.533484,0.004583,0.016742
1032155,1762291532.936079,2.508205,2.532524,0.004103,0.016262
1032155,1762291532.936264,2.508205,2.532204,0.004103,0.016102
1032156,1762291532.936277,2.509165,2.532524,0.004583,0.016262
1032156,1762291532.936296,2.509485,2.533804,0.004743,0.016902
1032156,1762291532.936305,2.508205,2.532844,0.004103,0.016422
1032156,1762291532.936313,2.507885,2.533484,0.003943,0.016742
1032156,1762291532.936321,2.509165,2.532844,0.004583,0.016422
1032156,1762291532.936328,2.507885,2.533484,0.003943,0.016742
1032156,1762291532.936352,2.508205,2.533164,0.004103,0.016582
1032168,1762291532.948688,2.508525,2.533804,0.004263,0.016902
1032168,1762291532.948725,2.508845,2.534764,0.004423,0.017382
1032168,1762291532.948731,2.507246,2.535083,0.003623,0.017542
1032168,1762291532.948735,2.507885,2.535723,0.003943,0.017862
1032168,1762291532.948741,2.507565,2.537323,0.003783,0.018662
1032168,1762291532.948747,2.508205,2.535723,0.004103,0.017862
1032168,1762291532.948753,2.508205,2.536363,0.004103,0.018182
1032168,1762291532.948780,2.506286,2.537963,0.003143,0.018982
1032168,1762291532.948789,2.507885,2.537963,0.003943,0.018982
1032168,1762291532.948797,2.507246,2.539563,0.003623,0.019782
1032184,1762291532.964698,2.506606,2.539243,0.003303,0.019622
1032184,1762291532.964730,2.507246,2.540523,0.003623,0.020262
1032184,1762291532.964735,2.507246,2.542443,0.003623,0.021221
1032184,1762291532.964739,2.506926,2.542443,0.003463,0.021221
1032184,1762291532.964743,2.507246,2.542763,0.003623,0.021381
1032184,1762291532.964747,2.507565,2.543723,0.003783,0.021861
1032184,1762291532.964751,2.506606,2.544683,0.003303,0.022341
1032184,1762291532.964755,2.506606,2.544363,0.003303,0.022181
1032184,1762291532.964758,2.506926,2.546283,0.003463,0.023141
1032184,1762291532.964761,2.506926,2.545643,0.003463,0.022821
1032184,1762291532.964921,2.507246,2.546603,0.003623,0.023301
1032184,1762291532.964928,2.505966,2.546603,0.002983,0.023301
1032184,1762291532.964932,2.507246,2.548842,0.003623,0.024421
1032184,1762291532.964936,2.506286,2.550122,0.003143,0.025061
1032184,1762291532.964939,2.507246,2.549482,0.003623,0.024741
1032184,1762291532.964943,2.506926,2.551402,0.003463,0.025701
1032184,1762291532.964946,2.505326,2.550122,0.002663,0.025061
1032184,1762291532.964950,2.506926,2.552042,0.003463,0.026021
1032184,1762291532.964953,2.506926,2.552682,0.003463,0.026341
1032184,1762291532.964961,2.505646,2.553322,0.002823,0.026661
1032200,1762291532.980808,2.506926,2.553962,0.003463,0.026981
1032201,1762291532.981891,2.507246,2.554602,0.003623,0.027301
1032201,1762291532.981962,2.505966,2.556202,0.002983,0.028101
1032201,1762291532.981993,2.506926,2.556202,0.003463,0.028101
1032201,1762291532.982008,2.506606,2.557802,0.003303,0.028901
1032201,1762291532.982013,2.505646,2.557162,0.002823,0.028581
1032201,1762291532.982018,2.506606,2.557802,0.003303,0.028901
1032201,1762291532.982023,2.507246,2.558762,0.003623,0.029381
1032201,1762291532.982028,2.506606,2.560042,0.003303,0.030021
1032201,1762291532.982033,2.505646,2.560362,0.002823,0.030181
1032216,1762291532.997004,2.505966,2.560682,0.002983,0.030341
1032217,1762291532.997472,2.506286,2.560682,0.003143,0.030341
1032217,1762291532.997497,2.506606,2.562282,0.003303,0.031141
1032217,1762291532.997560,2.505646,2.562282,0.002823,0.031141
1032217,1762291532.997567,2.505646,2.562601,0.002823,0.031301
1032217,1762291532.997573,2.506286,2.562601,0.003143,0.031301
1032217,1762291532.997578,2.505646,2.563241,0.002823,0.031621
1032217,1762291532.997583,2.505646,2.562601,0.002823,0.031301
1032217,1762291532.997588,2.505966,2.562921,0.002983,0.031461
1032217,1762291532.997597,2.505646,2.564201,0.002823,0.032101
1032217,1762291532.998235,2.505966,2.563561,0.002983,0.031781
1032217,1762291532.998251,2.505646,2.563561,0.002823,0.031781
1032217,1762291532.998258,2.505646,2.563881,0.002823,0.031941
1032217,1762291532.998263,2.505646,2.563561,0.002823,0.031781
1032217,1762291532.998268,2.506286,2.563241,0.003143,0.031621
1032217,1762291532.998273,2.505646,2.562921,0.002823,0.031461
1032218,1762291532.998278,2.505966,2.563241,0.002983,0.031621
1032218,1762291532.998283,2.506286,2.562921,0.003143,0.031461
1032218,1762291532.998289,2.506286,2.563241,0.003143,0.031621
1032218,1762291532.998294,2.505646,2.562921,0.002823,0.031461
1032232,1762291533.012849,2.506606,2.561642,0.003303,0.030821
1032233,1762291533.013450,2.506926,2.563241,0.003463,0.031621
1032233,1762291533.013485,2.505966,2.562282,0.002983,0.031141
1032233,1762291533.013501,2.506926,2.561002,0.003463,0.030501
1032233,1762291533.013511,2.507565,2.560362,0.003783,0.030181
1032233,1762291533.013522,2.507246,2.560362,0.003623,0.030181
1032233,1762291533.013533,2.507246,2.559722,0.003623,0.029861
1032233,1762291533.013543,2.506926,2.559402,0.003463,0.029701
1032233,1762291533.013601,2.506926,2.559402,0.003463,0.029701
1032233,1762291533.013622,2.507246,2.558122,0.003623,0.029061
1032234,1762291533.014354,2.508525,2.558442,0.004263,0.029221
1032234,1762291533.014389,2.508205,2.557802,0.004103,0.028901
1032234,1762291533.014413,2.507246,2.557482,0.003623,0.028741
1032235,1762291533.015429,2.507885,2.556842,0.003943,0.028421
1032235,1762291533.015448,2.507885,2.554922,0.003943,0.027461
1032235,1762291533.015455,2.508205,2.555882,0.004103,0.027941
1032235,1762291533.015461,2.507885,2.554282,0.003943,0.027141
1032235,1762291533.015466,2.507565,2.554602,0.003783,0.027301
1032235,1762291533.015472,2.507246,2.553002,0.003623,0.026501
1032235,1762291533.015477,2.507885,2.552682,0.003943,0.026341
1032248,1762291533.028808,2.508205,2.551402,0.004103,0.025701
1032248,1762291533.028844,2.507885,2.551722,0.003943,0.025861
1032248,1762291533.028849,2.508205,2.550762,0.004103,0.025381
1032248,1762291533.028853,2.507885,2.549482,0.003943,0.024741
1032248,1762291533.028857,2.508525,2.548842,0.004263,0.024421
1032248,1762291533.028861,2.508525,2.548203,0.004263,0.024101
1032248,1762291533.028865,2.508525,2.548523,0.004263,0.024261
1032248,1762291533.028868,2.508205,2.546923,0.004103,0.023461
1032248,1762291533.028872,2.509485,2.547243,0.004743,0.023621
1032248,1762291533.028875,2.508205,2.545963,0.004103,0.022981
1032264,1762291533.044796,2.508525,2.544683,0.004263,0.022341
1032265,1762291533.045988,2.508525,2.543723,0.004263,0.021861
1032265,1762291533.046010,2.508525,2.542443,0.004263,0.021221
1032265,1762291533.046016,2.509485,2.542443,0.004743,0.021221
1032265,1762291533.046055,2.509485,2.541803,0.004743,0.020902
1032265,1762291533.046092,2.508845,2.541483,0.004423,0.020742
1032269,1762291533.049876,2.508845,2.538923,0.004423,0.019462
1032269,1762291533.049915,2.509805,2.538923,0.004903,0.019462
1032269,1762291533.049962,2.509485,2.538283,0.004743,0.019142
1032269,1762291533.050035,2.509485,2.537003,0.004743,0.018502
1032272,1762291533.053069,2.510125,2.536683,0.005063,0.018342
1032272,1762291533.053112,2.509485,2.536043,0.004743,0.018022
1032272,1762291533.053127,2.509485,2.534764,0.004743,0.017382
1032272,1762291533.053140,2.509805,2.535403,0.004903,0.017702
1032272,1762291533.053154,2.509165,2.534124,0.004583,0.017062
1032272,1762291533.053170,2.508845,2.533484,0.004423,0.016742
1032272,1762291533.053207,2.509165,2.533164,0.004583,0.016582
1032272,1762291533.053223,2.509165,2.532204,0.004583,0.016102
1032272,1762291533.053238,2.509485,2.530284,0.004743,0.015142
1032272,1762291533.053253,2.508525,2.530604,0.004263,0.015302
1032283,1762291533.063755,2.508845,2.530284,0.004423,0.015142
1032283,1762291533.063780,2.509165,2.529324,0.004583,0.014662
1032283,1762291533.063787,2.509805,2.529324,0.004903,0.014662
1032283,1762291533.063793,2.508845,2.529004,0.004423,0.014502
1032283,1762291533.063798,2.508525,2.528684,0.004263,0.014342
1032284,1762291533.064301,2.508525,2.527404,0.004263,0.013702
1032284,1762291533.064325,2.509165,2.525804,0.004583,0.012902
1032284,1762291533.064335,2.509805,2.527084,0.004903,0.013542
1032284,1762291533.064371,2.508525,2.526124,0.004263,0.013062
1032284,1762291533.064415,2.508205,2.525164,0.004103,0.012582
1032284,1762291533.065023,2.508845,2.525804,0.004423,0.012902
1032284,1762291533.065038,2.508205,2.525804,0.004103,0.012902
1032284,1762291533.065050,2.507885,2.524524,0.003943,0.012262
1032284,1762291533.065072,2.508525,2.524844,0.004263,0.012422
1032285,1762291533.065370,2.509165,2.523564,0.004583,0.011782
1032285,1762291533.065382,2.507565,2.525164,0.003783,0.012582
1032285,1762291533.065392,2.508525,2.523884,0.004263,0.011942
1032285,1762291533.065401,2.508845,2.523244,0.004423,0.011622
1032285,1762291533.065427,2.508525,2.522284,0.004263,0.011142
1032285,1762291533.065452,2.509165,2.522284,0.004583,0.011142
1032297,1762291533.077354,2.508845,2.522284,0.004423,0.011142
1032297,1762291533.077392,2.509485,2.521964,0.004743,0.010982
1032297,1762291533.077401,2.509805,2.521324,0.004903,0.010662
1032297,1762291533.077411,2.508845,2.521644,0.004423,0.010822
1032297,1762291533.077417,2.509485,2.521005,0.004743,0.010502
1032297,1762291533.077423,2.509485,2.521324,0.004743,0.010662
1032297,1762291533.077430,2.508845,2.521324,0.004423,0.010662
1032297,1762291533.077445,2.508525,2.521644,0.004263,0.010822
1032297,1762291533.077453,2.509485,2.520685,0.004743,0.010342
1032297,1762291533.077459,2.510125,2.520685,0.005063,0.010342
1032312,1762291533.092834,2.509165,2.520685,0.004583,0.010342
1032312,1762291533.092866,2.508525,2.521644,0.004263,0.010822
1032312,1762291533.092871,2.509165,2.520045,0.004583,0.010022
1032312,1762291533.092876,2.508205,2.520045,0.004103,0.010022
1032312,1762291533.092881,2.509165,2.522604,0.004583,0.011302
1032312,1762291533.092885,2.508845,2.521005,0.004423,0.010502
1032312,1762291533.092890,2.507246,2.520685,0.003623,0.010342
1032312,1762291533.092894,2.508205,2.520685,0.004103,0.010342
1032312,1762291533.092899,2.508525,2.520685,0.004263,0.010342
1032312,1762291533.092903,2.508205,2.521644,0.004103,0.010822
1032329,1762291533.109909,2.508205,2.521005,0.004103,0.010502
1032329,1762291533.109983,2.508205,2.520685,0.004103,0.010342
1032329,1762291533.110004,2.508205,2.521324,0.004103,0.010662
1032329,1762291533.110010,2.507246,2.521644,0.003623,0.010822
1032329,1762291533.110014,2.506926,2.522284,0.003463,0.011142
1032333,1762291533.113889,2.506926,2.522604,0.003463,0.011302
1032334,1762291533.114343,2.507246,2.522284,0.003623,0.011142
1032334,1762291533.114374,2.506606,2.521964,0.003303,0.010982
1032334,1762291533.114416,2.506926,2.522604,0.003463,0.011302
1032334,1762291533.114439,2.507246,2.524524,0.003623,0.012262
1032334,1762291533.115252,2.505646,2.523244,0.002823,0.011622
1032334,1762291533.115270,2.506926,2.522924,0.003463,0.011462
1032335,1762291533.115280,2.506926,2.523564,0.003463,0.011782
1032335,1762291533.115287,2.507246,2.524204,0.003623,0.012102
1032335,1762291533.115639,2.506606,2.524204,0.003303,0.012102
1032335,1762291533.115680,2.506606,2.524844,0.003303,0.012422
1032335,1762291533.115697,2.506606,2.524204,0.003303,0.012102
1032335,1762291533.115715,2.506286,2.526124,0.003143,0.013062
1032335,1762291533.115728,2.506286,2.524844,0.003143,0.012422
1032335,1762291533.115743,2.506286,2.526124,0.003143,0.013062
1032343,1762291533.124026,2.507246,2.526764,0.003623,0.013382
1032343,1762291533.124051,2.505966,2.527084,0.002983,0.013542
1032343,1762291533.124091,2.505966,2.526444,0.002983,0.013222
1032343,1762291533.124132,2.506286,2.528044,0.003143,0.014022
1032343,1762291533.124189,2.505966,2.524524,0.002983,0.012262
1032343,1762291533.124236,2.505966,2.527084,0.002983,0.013542
1032343,1762291533.124245,2.505326,2.529644,0.002663,0.014822
1032343,1762291533.124250,2.505966,2.530924,0.002983,0.015462
1032343,1762291533.124256,2.504686,2.532524,0.002343,0.016262
1032343,1762291533.124261,2.505646,2.532524,0.002823,0.016262
1032344,1762291533.124412,2.505326,2.543723,0.002663,0.021861
1032344,1762291533.124433,2.505966,2.529644,0.002983,0.014822
1032344,1762291533.124440,2.505646,2.530924,0.002823,0.015462
1032344,1762291533.124445,2.504686,2.532204,0.002343,0.016102
1032344,1762291533.124462,2.505646,2.526444,0.002823,0.013222
1032344,1762291533.124484,2.505326,2.532204,0.002663,0.016102
1032344,1762291533.124530,2.505966,2.539243,0.002983,0.019622
1032344,1762291533.124537,2.505326,2.532844,0.002663,0.016422
1032344,1762291533.124543,2.505006,2.524844,0.002503,0.012422
1032344,1762291533.124549,2.505006,2.531564,0.002503,0.015782
1032359,1762291533.139605,2.505326,2.532524,0.002663,0.016262
1032359,1762291533.139652,2.505646,2.534444,0.002823,0.017222
1032359,1762291533.139696,2.505006,2.540523,0.002503,0.020262
1032359,1762291533.139714,2.504686,2.529964,0.002343,0.014982
1032359,1762291533.139753,2.505646,2.532844,0.002823,0.016422
1032359,1762291533.139782,2.505326,2.538923,0.002663,0.019462
1032359,1762291533.139788,2.505326,2.537963,0.002663,0.018982
1032359,1762291533.139794,2.505006,2.543723,0.002503,0.021861
1032359,1762291533.139800,2.505326,2.529004,0.002663,0.014502
1032359,1762291533.139815,2.504686,2.537643,0.002343,0.018822
