time_ms,time_ts,chatter
1762289999871,1762289999.871128,"-- Current Config --"
1762289999873,1762289999.873943,"MOTOR_STEP_DEG=1.800"
1762289999874,1762289999.874037,"WHEEL_DIAM_IN=3.750"
1762289999874,1762289999.874375,"ACCEL_FT=4.000"
1762289999874,1762289999.874441,"CRUISE_FT=10.000"
1762289999874,1762289999.874759,"DECEL_FT=4.000"
1762289999874,1762289999.874823,"VMAX_FPS=1.500"
1762289999875,1762289999.875129,"PAUSE_MS=10000"
1762289999875,1762289999.875426,"REWIND_TIME_S=30"
1762289999875,1762289999.875479,"DIR_INV=0"
1762289999876,1762289999.876542,"RATE_HZ=200"
1762289999876,1762289999.876586,"REWIND_CAL_IN=1.000"
1762289999927,1762289999.927108,"START received."
1762289999929,1762289999.929221,"=== PLAN (before motion) ==="
1762289999933,1762289999.933826,"Wheel dia=3.750 in, circ=0.98175 ft"
1762289999933,1762289999.933886,"steps/rev=200.0, steps/ft=203.72"
1762289999933,1762289999.933942,"Vpeak (ft/s)=1.500"
1762289999933,1762289999.933977,"Accel a (ft/s^2)=0.281"
1762289999934,1762289999.934289,"Decel d (ft/s^2)=0.281"
1762289999934,1762289999.934335,"Times: accel≈5.33s, cruise≈6.67s, decel≈5.33s, pause=10s, rewind≈30.00s, TOTAL≈57.33s"
1762289999934,1762289999.934396,"Rewind early-stop (in): 1.000"
1762289999934,1762289999.934710,"=== END PLAN ==="
1762289999934,1762289999.934755,"=== COUNTDOWN ==="
1762289999935,1762289999.935056,"5"
1762290002925,1762290002.925341,"WHISTLE!"
1762290005151,1762290005.151952,"START t_ms=1909654, t_s=1909.65"
1909894,1762290005.537417,"0.03436,1910019"
1910264,1762290005.813952,"0.03483,1910299"
1913469,1762290009.008551,"0.46633,0.14357,0.04794,1913489"
1914274,1762290009.817526,"0.06567,1914299"
1915604,1762290011.149491,"0.30663,0.11615,1915639"
1916149,1762290011.700358,"0.37486,0.14737,1916174"
1918564,1762290014.098710,"0.41971,1918589"
1919369,1762290014.906954,"0.44951,1919394"
1922054,1762290017.594991,"1.50000,0.00000,1922079"
1925599,1762290021.155257,"0.00000,1925619"
1926139,1762290021.715662,"1.50000,0.00000,1926169"
1929214,1762290024.775790,"1.00000,-0.35194,1929244"
1930029,1762290025.593856,"0.00000,1930059"
1931134,1762290026.702513,"0.00000,1931154"
1932799,1762290028.389680,"0.00000,1932834"
1940319,1762290035.905014,"0.00000,1940344"
1940864,1762290036.448717,"0.00000,1940899"
1943624,1762290039.214522,"14.21571,-1.00000,0.00000,1943649"
1943894,1762290039.480833,"1.00000,0.00000,1943924"
1944979,1762290040.565429,"0.00000,1944999"
1945809,1762290041.431916,"1.00000,0.00000,1945849"
1946094,1762290041.708503,"0.00000,1946139"
1948064,1762290043.683379,"1.00000,0.00000,1948099"
1948344,1762290043.979290,"1.00000,0.00000,1948384"
1948629,1762290044.257467,"0.00000,1948679"
1949509,1762290045.142514,"8.28104,-1.00000,0.00000,1949554"
1949799,1762290045.433952,"0.00000,1949844"
1953199,1762290048.820436,"1.00000,0.00000,1953239"
1956649,1762290052.296244,"1.00000,0.00000,1956694"
1956939,1762290052.571850,"0.00000,1956989"
1957509,1762290053.143731,"1.00000,0.00000,1957539"
