time_ms,time_ts,v4,v5,g4,g5
1970896,1762290066.663741,2.501166,2.539243,0.000583,0.019622
1970896,1762290066.663848,2.500526,2.538283,0.000263,0.019142
1970896,1762290066.663866,2.501166,2.537643,0.000583,0.018822
1970896,1762290066.663874,2.500846,2.537643,0.000423,0.018822
1970896,1762290066.663882,2.499246,2.537003,-0.000377,0.018502
1970896,1762290066.663889,2.499566,2.536683,-0.000217,0.018342
1970896,1762290066.663896,2.500846,2.536363,0.000423,0.018182
1970896,1762290066.663903,2.499886,2.535723,-0.000057,0.017862
1970896,1762290066.663911,2.500206,2.536363,0.000103,0.018182
1970899,1762290066.666970,2.499566,2.536363,-0.000217,0.018182
1970913,1762290066.681051,2.498926,2.536363,-0.000537,0.018182
1970914,1762290066.681158,2.498926,2.535403,-0.000537,0.017702
1970914,1762290066.681172,2.499886,2.535723,-0.000057,0.017862
1970914,1762290066.681178,2.499246,2.537003,-0.000377,0.018502
1970914,1762290066.681182,2.500206,2.536043,0.000103,0.018022
1970914,1762290066.681186,2.499566,2.537963,-0.000217,0.018982
1970914,1762290066.681189,2.499566,2.537963,-0.000217,0.018982
1970914,1762290066.681661,2.499886,2.538283,-0.000057,0.019142
1970914,1762290066.681669,2.499566,2.537963,-0.000217,0.018982
1970914,1762290066.681673,2.499886,2.539243,-0.000057,0.019622
1970928,1762290066.695895,2.499246,2.539883,-0.000377,0.019942
1970929,1762290066.696659,2.499566,2.541163,-0.000217,0.020582
1970929,1762290066.696670,2.500206,2.540843,0.000103,0.020422
1970930,1762290066.697110,2.500846,2.541163,0.000423,0.020582
1970930,1762290066.697145,2.500526,2.544043,0.000263,0.022021
1970930,1762290066.697155,2.499886,2.543403,-0.000057,0.021701
1970930,1762290066.697163,2.500206,2.544683,0.000103,0.022341
1970930,1762290066.697170,2.501486,2.545003,0.000743,0.022501
1970930,1762290066.697176,2.501166,2.547563,0.000583,0.023781
1970930,1762290066.697600,2.500526,2.545963,0.000263,0.022981
1970945,1762290066.712943,2.501166,2.547563,0.000583,0.023781
1970945,1762290066.712971,2.501806,2.547883,0.000903,0.023941
1970945,1762290066.712977,2.501486,2.550442,0.000743,0.025221
1970945,1762290066.712981,2.502126,2.550442,0.001063,0.025221
1970945,1762290066.712985,2.501806,2.551722,0.000903,0.025861
1970945,1762290066.713048,2.502126,2.552682,0.001063,0.026341
1970945,1762290066.713087,2.503086,2.553322,0.001543,0.026661
1970946,1762290066.713117,2.502126,2.555242,0.001063,0.027621
1970946,1762290066.713125,2.502126,2.553962,0.001063,0.026981
1970946,1762290066.713130,2.503406,2.556522,0.001703,0.028261
1970960,1762290066.728030,2.502766,2.555882,0.001383,0.027941
1970960,1762290066.728082,2.503406,2.557162,0.001703,0.028581
1970961,1762290066.728093,2.503406,2.558442,0.001703,0.029221
1970961,1762290066.728101,2.503406,2.559082,0.001703,0.029541
1970961,1762290066.728111,2.503406,2.560682,0.001703,0.030341
1970961,1762290066.728119,2.504686,2.560682,0.002343,0.030341
1970961,1762290066.728127,2.505006,2.561642,0.002503,0.030821
1970961,1762290066.728136,2.504686,2.562282,0.002343,0.031141
1970961,1762290066.728144,2.505006,2.562601,0.002503,0.031301
1970961,1762290066.728152,2.505006,2.563241,0.002503,0.031621
1970961,1762290066.728398,2.505326,2.563241,0.002663,0.031621
1970961,1762290066.728410,2.505006,2.564521,0.002503,0.032261
1970961,1762290066.728419,2.505966,2.565161,0.002983,0.032581
1970961,1762290066.728427,2.506286,2.565481,0.003143,0.032741
1970961,1762290066.728436,2.506606,2.566441,0.003303,0.033221
1970961,1762290066.728444,2.506286,2.567401,0.003143,0.033701
1970961,1762290066.728451,2.505646,2.566441,0.002823,0.033221
1970961,1762290066.728459,2.507565,2.566761,0.003783,0.033381
1970961,1762290066.728468,2.507565,2.567081,0.003783,0.033541
1970961,1762290066.728476,2.506926,2.568681,0.003463,0.034341
1970977,1762290066.744928,2.506926,2.568041,0.003463,0.034021
1970977,1762290066.744959,2.507885,2.569321,0.003943,0.034661
1970977,1762290066.744966,2.508525,2.569321,0.004263,0.034661
1970977,1762290066.744971,2.508205,2.569001,0.004103,0.034501
1970977,1762290066.744975,2.508205,2.569321,0.004103,0.034661
1970977,1762290066.744983,2.509485,2.569961,0.004743,0.034980
1970980,1762290066.747323,2.507885,2.569641,0.003943,0.034820
1970980,1762290066.747378,2.508525,2.568681,0.004263,0.034341
1970982,1762290066.749519,2.508525,2.569641,0.004263,0.034820
1970983,1762290066.750100,2.509165,2.569641,0.004583,0.034820
1970992,1762290066.759885,2.509165,2.569641,0.004583,0.034820
1970992,1762290066.759940,2.508525,2.569961,0.004263,0.034980
1970992,1762290066.759956,2.507885,2.569961,0.003943,0.034980
1970992,1762290066.760001,2.509165,2.569321,0.004583,0.034661
1970993,1762290066.760103,2.509165,2.569961,0.004583,0.034980
1970993,1762290066.760162,2.508845,2.569961,0.004423,0.034980
1970996,1762290066.763668,2.508845,2.568361,0.004423,0.034181
1970997,1762290066.764796,2.508205,2.569001,0.004103,0.034501
1970997,1762290066.764823,2.508525,2.568041,0.004263,0.034021
1970997,1762290066.764839,2.509485,2.569001,0.004743,0.034501
1970998,1762290066.765522,2.508525,2.568361,0.004263,0.034181
1970998,1762290066.765538,2.508205,2.568681,0.004103,0.034341
1970998,1762290066.765545,2.507565,2.567401,0.003783,0.033701
1970998,1762290066.765551,2.508845,2.567721,0.004423,0.033861
1970998,1762290066.765556,2.508525,2.567401,0.004263,0.033701
1970998,1762290066.765561,2.507565,2.567721,0.003783,0.033861
1970998,1762290066.765566,2.507885,2.566121,0.003943,0.033061
1970998,1762290066.765571,2.508525,2.566121,0.004263,0.033061
1970998,1762290066.765577,2.508845,2.566441,0.004423,0.033221
1970998,1762290066.765596,2.508525,2.567081,0.004263,0.033541
1970998,1762290066.765753,2.508205,2.567401,0.004103,0.033701
1970998,1762290066.765766,2.508205,2.565481,0.004103,0.032741
1970998,1762290066.765789,2.508205,2.566121,0.004103,0.033061
1970998,1762290066.765804,2.508525,2.566441,0.004263,0.033221
1970998,1762290066.765811,2.508525,2.567401,0.004263,0.033701
1970998,1762290066.765819,2.507565,2.566121,0.003783,0.033061
1970998,1762290066.765845,2.507246,2.565801,0.003623,0.032901
1970998,1762290066.765878,2.508525,2.566761,0.004263,0.033381
1970998,1762290066.765899,2.508845,2.567401,0.004423,0.033701
1970998,1762290066.765942,2.508205,2.567721,0.004103,0.033861
1971008,1762290066.775206,2.508205,2.566761,0.004103,0.033381
1971008,1762290066.775260,2.507246,2.568041,0.003623,0.034021
1971008,1762290066.775292,2.508525,2.568041,0.004263,0.034021
1971008,1762290066.775299,2.508845,2.569001,0.004423,0.034501
1971008,1762290066.775305,2.508205,2.569001,0.004103,0.034501
1971008,1762290066.775309,2.507885,2.570921,0.003943,0.035460
1971008,1762290066.775315,2.506606,2.570601,0.003303,0.035300
1971008,1762290066.775320,2.506286,2.570281,0.003143,0.035140
1971008,1762290066.775325,2.506286,2.572201,0.003143,0.036100
1971008,1762290066.775332,2.507565,2.571881,0.003783,0.035940
1971023,1762290066.790598,2.506926,2.573801,0.003463,0.036900
1971023,1762290066.790625,2.507246,2.574441,0.003623,0.037220
1971023,1762290066.790632,2.507246,2.575401,0.003623,0.037700
1971023,1762290066.790661,2.505326,2.574761,0.002663,0.037380
1971023,1762290066.790676,2.505966,2.576041,0.002983,0.038020
1971023,1762290066.790682,2.506286,2.576041,0.003143,0.038020
1971023,1762290066.790688,2.506606,2.577640,0.003303,0.038820
1971023,1762290066.790693,2.505646,2.577000,0.002823,0.038500
1971023,1762290066.790698,2.505646,2.579560,0.002823,0.039780
1971023,1762290066.790703,2.505006,2.580520,0.002503,0.040260
1971039,1762290066.807015,2.505326,2.579240,0.002663,0.039620
1971040,1762290066.807130,2.504686,2.581160,0.002343,0.040580
1971040,1762290066.807148,2.505006,2.581160,0.002503,0.040580
1971040,1762290066.807173,2.505966,2.582440,0.002983,0.041220
1971040,1762290066.807223,2.505646,2.582440,0.002823,0.041220
1971040,1762290066.807231,2.504686,2.584680,0.002343,0.042340
1971040,1762290066.807247,2.504686,2.584040,0.002343,0.042020
1971040,1762290066.807255,2.505646,2.585960,0.002823,0.042980
1971040,1762290066.807279,2.505326,2.585640,0.002663,0.042820
