time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
146076,1762290645.311768,ACCEL,0,0.00000,0.12000,0.06749,146076
146081,1762290645.412851,ACCEL,0,0.00000,0.12000,0.06749,146081
146086,1762290645.412873,ACCEL,1,0.00491,0.12000,0.06763,146086
146091,1762290645.412885,ACCEL,1,0.00491,0.12000,0.06763,146091
146096,1762290645.412895,ACCEL,1,0.00491,0.12000,0.06763,146096
146101,1762290645.412905,ACCEL,1,0.00491,0.12000,0.06763,146101
146106,1762290645.412914,ACCEL,1,0.00491,0.12000,0.06763,146106
146111,1762290645.412923,ACCEL,1,0.00491,0.12000,0.06763,146111
146116,1762290645.412931,ACCEL,1,0.00491,0.12000,0.06763,146116
146121,1762290645.412940,ACCEL,1,0.00491,0.12000,0.06763,146121
146126,1762290645.412948,ACCEL,2,0.00982,0.12000,0.06776,146126
146131,1762290645.412957,ACCEL,2,0.00982,0.12000,0.06776,146131
146136,1762290645.412966,ACCEL,2,0.00982,0.12000,0.06776,146136
146141,1762290645.412974,ACCEL,2,0.00982,0.12000,0.06776,146141
146146,1762290645.412982,ACCEL,2,0.00982,0.12000,0.06776,146146
146151,1762290645.412991,ACCEL,2,0.00982,0.12000,0.06776,146151
146156,1762290645.412999,ACCEL,2,0.00982,0.12000,0.06776,146156
146161,1762290645.413007,ACCEL,2,0.00982,0.12000,0.06776,146161
146166,1762290645.413015,ACCEL,3,0.01473,0.12000,0.06790,146166
146171,1762290645.413023,ACCEL,3,0.01473,0.12000,0.06790,146171
146177,1762290645.413031,ACCEL,3,0.01473,0.12000,0.06790,146177
146181,1762290645.413039,ACCEL,3,0.01473,0.12000,0.06790,146181
146186,1762290645.413047,ACCEL,3,0.01473,0.12000,0.06790,146186
146191,1762290645.413055,ACCEL,3,0.01473,0.12000,0.06790,146191
146196,1762290645.413069,ACCEL,3,0.01473,0.12000,0.06790,146196
146202,1762290645.413077,ACCEL,3,0.01473,0.12000,0.06790,146202
146206,1762290645.413085,ACCEL,4,0.01963,0.12000,0.06803,146206
146211,1762290645.413092,ACCEL,4,0.01963,0.12000,0.06803,146211
146217,1762290645.413099,ACCEL,4,0.01963,0.12000,0.06803,146217
146222,1762290645.413106,ACCEL,4,0.01963,0.12000,0.06803,146222
146226,1762290645.413114,ACCEL,4,0.01963,0.12000,0.06803,146226
146231,1762290645.413121,ACCEL,4,0.01963,0.12000,0.06803,146231
146236,1762290645.413128,ACCEL,4,0.01963,0.12000,0.06803,146236
146241,1762290645.413138,ACCEL,4,0.01963,0.12000,0.06803,146241
146246,1762290645.413145,ACCEL,4,0.01963,0.12000,0.06803,146246
146251,1762290645.413152,ACCEL,5,0.02454,0.12000,0.06817,146251
