time_ms,time_ts,chatter
1762290328758,1762290328.758339,"-- Current Config --"
1762290328758,1762290328.758479,"MOTOR_STEP_DEG=1.800"
1762290328758,1762290328.758529,"WHEEL_DIAM_IN=3.750"
1762290328758,1762290328.758622,"ACCEL_FT=4.000"
1762290328759,1762290328.759656,"CRUISE_FT=10.000"
1762290328759,1762290328.759733,"DECEL_FT=4.000"
1762290328759,1762290328.759790,"VMAX_FPS=6.000"
1762290328759,1762290328.759849,"PAUSE_MS=10000"
1762290328761,1762290328.761014,"REWIND_TIME_S=30"
1762290328761,1762290328.761062,"DIR_INV=0"
1762290328761,1762290328.761628,"RATE_HZ=200"
1762290328761,1762290328.761904,"REWIND_CAL_IN=1.000"
1762290328813,1762290328.813700,"START received."
1762290328813,1762290328.813887,"=== PLAN (before motion) ==="
1762290328816,1762290328.816771,"Wheel dia=3.750 in, circ=0.98175 ft"
1762290328816,1762290328.816852,"steps/rev=200.0, steps/ft=203.72"
1762290328817,1762290328.817181,"Vpeak (ft/s)=6.000"
1762290328817,1762290328.817510,"Accel a (ft/s^2)=4.499"
1762290328818,1762290328.818451,"Decel d (ft/s^2)=4.499"
1762290328818,1762290328.818507,"Times: accel≈1.33s, cruise≈1.67s, decel≈1.33s, pause=10s, rewind≈30.00s, TOTAL≈44.33s"
1762290328818,1762290328.818582,"Rewind early-stop (in): 1.000"
1762290328818,1762290328.818684,"=== END PLAN ==="
1762290328820,1762290328.820080,"=== COUNTDOWN ==="
1762290328820,1762290328.820199,"5"
1762290329812,1762290329.812104,"4"
1762290332820,1762290332.820089,"1"
1762290334032,1762290334.032137,"START t_ms=103369, t_s=103.37"
107423,1762290338.128491,"0.00000,107453"
109548,1762290340.259531,"3.12262,109568"
111133,1762290341.841939,"0.00000,111148"
113588,1762290344.300746,"0.00000,113603"
113848,1762290344.578276,"0.00000,0.00000,113873"
116593,1762290347.340870,"18.00034,0.00000,0.00000,116623"
117448,1762290348.189793,"0.00000,0.00000,117478"
119123,1762290349.864907,"18.00034,0.00000,0.00000,119158"
120233,1762290350.981486,"1.00000,0.00000,120268"
120513,1762290351.263611,"0.00000,120543"
124988,1762290355.754431,"12.90998,-1.00000,0.00000,125028"
125838,1762290356.580426,"1.00000,0.00000,125868"
127203,1762290357.960610,"10.69123,-1.00000,0.00000,127238"
127483,1762290358.238465,"1.00000,0.00000,127513"
129143,1762290359.894607,"1.00000,0.00000,129168"
130268,1762290361.020936,"7.62327,-1.00000,0.00000,130288"
131898,1762290362.644424,"1.00000,0.00000,131933"
134643,1762290365.402576,"3.21522,-1.00000,0.00000,134678"
137093,1762290367.835009,"0.00000,137113"
137358,1762290368.099665,"0.00000,137378"
137623,1762290368.361365,"0.00000,137638"
