time_ms,time_ts,chatter
1762291392597,1762291392.597737,"-- Current Config --"
1762291392598,1762291392.598244,"MOTOR_STEP_DEG=1.800"
1762291392598,1762291392.598886,"WHEEL_DIAM_IN=3.750"
1762291392599,1762291392.599488,"ACCEL_FT=4.000"
1762291392600,1762291392.600664,"CRUISE_FT=10.000"
1762291392600,1762291392.600717,"DECEL_FT=4.000"
1762291392600,1762291392.600756,"VMAX_FPS=3.000"
1762291392600,1762291392.600789,"PAUSE_MS=10000"
1762291392600,1762291392.600834,"REWIND_TIME_S=30"
1762291392600,1762291392.600866,"DIR_INV=0"
1762291392600,1762291392.600894,"RATE_HZ=200"
1762291392600,1762291392.600921,"REWIND_CAL_IN=1.000"
1762291393636,1762291393.636970,"4"
1762291394639,1762291394.639475,"3"
1762291395642,1762291395.642452,"WHISTLE!"
1762291396643,1762291396.643284,"1"
1762291397857,1762291397.857145,"START t_ms=897496, t_s=897.50"
897735,1762291398.231254,"0.06872,897855"
906410,1762291406.833604,"3.00000,0.00000,906440"
911585,1762291412.018788,"0.00000,0.00000,911610"
911855,1762291412.286885,"0.00000,911890"
912135,1762291412.546397,"0.00000,0.00000,912160"
913790,1762291414.222277,"0.00000,913815"
914060,1762291414.498798,"0.00000,914090"
915170,1762291415.621311,"0.00000,0.00000,915210"
916855,1762291417.296501,"0.00000,916880"
919935,1762291420.369123,"1.00000,0.00000,919960"
921290,1762291421.732810,"0.00000,921320"
921840,1762291422.278239,"0.00000,921865"
922665,1762291423.113563,"0.00000,922700"
924030,1762291424.468808,"0.00000,924050"
925660,1762291426.112193,"1.00000,0.00000,925675"
926210,1762291426.655592,"1.00000,0.00000,926235"
927030,1762291427.488768,"1.00000,0.00000,927070"
927875,1762291428.335579,"0.00000,927910"
928155,1762291428.602663,"9.00263,-1.00000,0.00000,928185"
930600,1762291431.044423,"0.00000,930620"
930865,1762291431.314219,"1.00000,0.00000,930890"
931405,1762291431.866601,"1.00000,0.00000,931435"
931680,1762291432.152023,"1.00000,0.00000,931720"
931965,1762291432.437870,"1.00000,0.00000,932000"
932245,1762291432.699434,"1.00000,0.00000,932280"
934135,1762291434.598031,"0.00000,934160"
936920,1762291437.372858,"1.00000,0.00000,936965"
937150,1762291437.374007,"=== RUN END ==="
937150,1762291437.422928,"Type START to run again, or SHOW to view config."
