time_ms,time_ts,chatter
1762291148512,1762291148.512602,"-- Current Config --"
1762291148513,1762291148.513600,"MOTOR_STEP_DEG=1.800"
1762291148515,1762291148.515577,"WHEEL_DIAM_IN=3.750"
1762291148515,1762291148.515654,"ACCEL_FT=4.000"
1762291148515,1762291148.515701,"CRUISE_FT=10.000"
1762291148516,1762291148.516025,"DECEL_FT=4.000"
1762291148516,1762291148.516085,"VMAX_FPS=3.000"
1762291148516,1762291148.516394,"PAUSE_MS=10000"
1762291148516,1762291148.516798,"REWIND_TIME_S=30"
1762291148516,1762291148.516884,"DIR_INV=0"
1762291148517,1762291148.517302,"RATE_HZ=200"
1762291148517,1762291148.517368,"REWIND_CAL_IN=1.000"
1762291150554,1762291150.554546,"3"
1762291151558,1762291151.558914,"WHISTLE!"
1762291153784,1762291153.784349,"START t_ms=653781, t_s=653.78"
659705,1762291159.738674,"1.82695,659730"
661575,1762291161.620136,"0.00000,661600"
661845,1762291161.897549,"0.00000,661865"
666420,1762291166.494594,"0.00000,666450"
666985,1762291167.059602,"0.00000,667020"
668920,1762291168.988317,"0.00000,0.00000,668955"
674445,1762291174.513691,"0.00000,674475"
675535,1762291175.607332,"1.00000,0.00000,675550"
679160,1762291179.253414,"0.00000,679195"
683310,1762291183.395163,"1.00000,0.00000,683330"
683575,1762291183.659373,"1.00000,0.00000,683610"
685245,1762291185.315944,"0.00000,685260"
686600,1762291186.688514,"0.00000,686625"
688505,1762291188.589800,"1.00000,0.00000,688525"
689875,1762291189.965930,"0.00000,689895"
691820,1762291191.941988,"1.00000,0.00000,691855"
692675,1762291192.792274,"1.00000,0.00000,692720"
693435,1762291193.289346,"=== RUN END ==="
693435,1762291193.356089,"Type START to run again, or SHOW to view config."
