time_ms,time_ts,phase,pos_steps,pos_ft,vel_fps,acc_fps2,t_ms
390605,1762290890.211036,ACCEL,0,0.00000,0.12000,0.06749,390605
390610,1762290890.314552,ACCEL,0,0.00000,0.12000,0.06749,390610
390615,1762290890.314584,ACCEL,1,0.00491,0.12000,0.06763,390615
390620,1762290890.314604,ACCEL,1,0.00491,0.12000,0.06763,390620
390625,1762290890.314618,ACCEL,1,0.00491,0.12000,0.06763,390625
390630,1762290890.314636,ACCEL,1,0.00491,0.12000,0.06763,390630
390635,1762290890.314651,ACCEL,1,0.00491,0.12000,0.06763,390635
390640,1762290890.314705,ACCEL,1,0.00491,0.12000,0.06763,390640
390646,1762290890.314718,ACCEL,1,0.00491,0.12000,0.06763,390646
390651,1762290890.314731,ACCEL,1,0.00491,0.12000,0.06763,390651
390655,1762290890.314743,ACCEL,2,0.00982,0.12000,0.06776,390655
390660,1762290890.314755,ACCEL,2,0.00982,0.12000,0.06776,390660
390665,1762290890.314783,ACCEL,2,0.00982,0.12000,0.06776,390665
390670,1762290890.314799,ACCEL,2,0.00982,0.12000,0.06776,390670
390675,1762290890.314807,ACCEL,2,0.00982,0.12000,0.06776,390675
390680,1762290890.314815,ACCEL,2,0.00982,0.12000,0.06776,390680
390685,1762290890.314822,ACCEL,2,0.00982,0.12000,0.06776,390685
390690,1762290890.314837,ACCEL,2,0.00982,0.12000,0.06776,390690
390695,1762290890.314844,ACCEL,3,0.01473,0.12000,0.06790,390695
390700,1762290890.314851,ACCEL,3,0.01473,0.12000,0.06790,390700
390706,1762290890.314859,ACCEL,3,0.01473,0.12000,0.06790,390706
390710,1762290890.314866,ACCEL,3,0.01473,0.12000,0.06790,390710
390715,1762290890.314874,ACCEL,3,0.01473,0.12000,0.06790,390715
390720,1762290890.314881,ACCEL,3,0.01473,0.12000,0.06790,390720
390725,1762290890.314888,ACCEL,3,0.01473,0.12000,0.06790,390725
390731,1762290890.314896,ACCEL,3,0.01473,0.12000,0.06790,390731
390735,1762290890.314903,ACCEL,4,0.01963,0.12000,0.06803,390735
390740,1762290890.314912,ACCEL,4,0.01963,0.12000,0.06803,390740
390745,1762290890.314919,ACCEL,4,0.01963,0.12000,0.06803,390745
390750,1762290890.314927,ACCEL,4,0.01963,0.12000,0.06803,390750
390755,1762290890.314934,ACCEL,4,0.01963,0.12000,0.06803,390755
390760,1762290890.314967,ACCEL,4,0.01963,0.12000,0.06803,390760
390765,1762290890.314976,ACCEL,4,0.01963,0.12000,0.06803,390765
390770,1762290890.314985,ACCEL,4,0.01963,0.12000,0.06803,390770
390775,1762290890.315035,ACCEL,4,0.01963,0.12000,0.06803,390775
390780,1762290890.315053,ACCEL,5,0.02454,0.12000,0.06817,390780
390786,1762290890.315065,ACCEL,5,0.02454,0.12000,0.06817,390786
390790,1762290890.315074,ACCEL,5,0.02454,0.12000,0.06817,390790
390795,1762290890.315083,ACCEL,5,0.02454,0.12000,0.06817,390795
390800,1762290890.315091,ACCEL,5,0.02454,0.12000,0.06817,390800
390805,1762290890.315099,ACCEL,5,0.02454,0.12000,0.06817,390805
390811,1762290890.315107,ACCEL,5,0.02454,0.12000,0.06817,390811
390815,1762290890.315114,ACCEL,5,0.02454,0.12000,0.06817,390815
390820,1762290890.315152,ACCEL,6,0.02945,0.12000,0.06831,390820
390825,1762290890.315194,ACCEL,6,0.02945,0.12000,0.06831,390825
390830,1762290890.315221,ACCEL,6,0.02945,0.12000,0.06831,390830
390835,1762290890.315232,ACCEL,6,0.02945,0.12000,0.06831,390835
390840,1762290890.315239,ACCEL,6,0.02945,0.12000,0.06831,390840
390971,1762290890.575234,ACCEL,9,0.04418,0.12000,0.06872,390971
390975,1762290890.575264,ACCEL,9,0.04418,0.12000,0.06872,390975
390980,1762290890.575815,ACCEL,9,0.04418,0.12000,0.06872,390980
390986,1762290890.575828,ACCEL,10,0.04909,0.12000,0.06885,390986
390990,1762290890.575837,ACCEL,10,0.04909,0.12000,0.06885,390990
390995,1762290890.575846,ACCEL,10,0.04909,0.12000,0.06885,390995
391000,1762290890.575853,ACCEL,10,0.04909,0.12000,0.06885,391000
391005,1762290890.575860,ACCEL,10,0.04909,0.12000,0.06885,391005
