time_ms,time_ts,chatter
1762290999211,1762290999.211078,"-- Current Config --"
1762290999212,1762290999.212424,"MOTOR_STEP_DEG=1.800"
1762290999212,1762290999.212528,"WHEEL_DIAM_IN=3.750"
1762290999212,1762290999.212587,"ACCEL_FT=4.000"
1762290999213,1762290999.213973,"CRUISE_FT=10.000"
1762290999214,1762290999.214158,"DECEL_FT=4.000"
1762290999214,1762290999.214282,"VMAX_FPS=3.000"
1762290999214,1762290999.214393,"PAUSE_MS=10000"
1762290999214,1762290999.214826,"REWIND_TIME_S=30"
1762290999214,1762290999.214888,"DIR_INV=0"
1762290999214,1762290999.214939,"RATE_HZ=200"
1762290999215,1762290999.215980,"REWIND_CAL_IN=1.000"
1762290999272,1762290999.272169,"START received."
1762290999272,1762290999.272571,"=== PLAN (before motion) ==="
1762290999276,1762290999.276392,"Wheel dia=3.750 in, circ=0.98175 ft"
1762290999276,1762290999.276731,"steps/rev=200.0, steps/ft=203.72"
1762290999277,1762290999.277049,"Vpeak (ft/s)=3.000"
1762290999277,1762290999.277112,"Accel a (ft/s^2)=1.125"
1762290999277,1762290999.277689,"Decel d (ft/s^2)=1.125"
1762290999277,1762290999.277992,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762290999279,1762290999.279100,"Rewind early-stop (in): 1.000"
1762290999279,1762290999.279207,"=== END PLAN ==="
1762290999279,1762290999.279282,"=== COUNTDOWN ==="
1762290999279,1762290999.279321,"5"
1762291000270,1762291000.270568,"4"
1762291003276,1762291003.276531,"1"
504969,1762291004.862392,"0.12000,0.06872,505084"
505329,1762291005.122834,"0.12000,0.06967,505344"
508244,1762291008.063066,"0.39466,0.27661,508274"
511689,1762291011.529063,"3.00000,0.00000,511714"
515739,1762291015.572858,"0.92231,515759"
516004,1762291015.842852,"1.00000,-0.65611,516034"
518204,1762291018.033231,"0.00000,0.00000,518234"
520684,1762291020.525362,"0.00000,0.00000,520709"
520954,1762291020.801206,"0.00000,520979"
522329,1762291022.181946,"0.00000,0.00000,522359"
523154,1762291023.010646,"18.00034,0.00000,0.00000,523189"
527854,1762291027.716071,"1.00000,0.00000,527884"
528129,1762291027.998477,"1.00000,0.00000,528159"
528689,1762291028.560369,"15.71778,-1.00000,0.00000,528719"
529529,1762291029.405816,"0.00000,529564"
531214,1762291031.098576,"0.00000,531254"
532074,1762291031.935405,"0.00000,532094"
533449,1762291033.307010,"10.94158,-1.00000,0.00000,533479"
534814,1762291034.684431,"1.00000,0.00000,534854"
535364,1762291035.220760,"9.02226,-1.00000,0.00000,535384"
536719,1762291036.605192,"1.00000,0.00000,536759"
537544,1762291037.393014,"0.00000,537559"
537804,1762291037.661901,"1.00000,0.00000,537824"
538889,1762291038.788463,"0.00000,538939"
539729,1762291039.593784,"0.00000,539744"
541364,1762291041.239250,"1.00000,0.00000,541384"
541629,1762291041.529036,"0.00000,541664"
542199,1762291042.085617,"0.00000,542224"
542469,1762291042.366080,"1.00000,0.00000,542509"
542754,1762291042.648306,"1.58552,-1.00000,0.00000,542789"
543599,1762291043.504010,"1.00000,0.00000,543644"
544369,1762291044.023286,"=== RUN END ==="
544369,1762291044.074034,"Type START to run again, or SHOW to view config."
