time_ms,time_ts,chatter
1762292192464,1762292192.464933,"-- Current Config --"
1762292192465,1762292192.465652,"MOTOR_STEP_DEG=1.800"
1762292192465,1762292192.465997,"WHEEL_DIAM_IN=3.750"
1762292192467,1762292192.467323,"ACCEL_FT=4.000"
1762292192470,1762292192.470170,"CRUISE_FT=10.000"
1762292192470,1762292192.470907,"DECEL_FT=4.000"
1762292192471,1762292192.471008,"VMAX_FPS=3.000"
1762292192471,1762292192.471117,"PAUSE_MS=10000"
1762292192471,1762292192.471982,"REWIND_TIME_S=30"
1762292192472,1762292192.472518,"DIR_INV=0"
1762292192472,1762292192.472622,"RATE_HZ=200"
1762292192472,1762292192.472669,"REWIND_CAL_IN=1.000"
1762292192518,1762292192.518508,"1.125"
1762292192518,1762292192.518652,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762292192521,1762292192.521960,"Rewind early-stop (in): 1.000"
1762292192522,1762292192.522575,"=== END PLAN ==="
1762292192522,1762292192.522635,"=== COUNTDOWN ==="
1762292192522,1762292192.522924,"5"
1762292193523,1762292193.523952,"4"
1762292195513,1762292195.513010,"WHISTLE!"
1762292196525,1762292196.525636,"1"
1762292197745,1762292197.745425,"START t_ms=1696165, t_s=1696.17"
1699975,1762292201.586983,"0.47862,0.34667,1700005"
1703160,1762292204.784148,"3.00000,0.00000,1703185"
1704235,1762292205.838855,"0.00000,1704250"
1707455,1762292209.069011,"0.65933,1707475"
1708245,1762292209.879009,"0.00000,0.00000,1708280"
1708525,1762292210.155515,"0.00000,0.00000,1708540"
1710765,1762292212.409804,"0.00000,1710800"
1711315,1762292212.972540,"0.00000,0.00000,1711355"
1712430,1762292214.099526,"0.00000,0.00000,1712465"
1714100,1762292215.760553,"18.00034,0.00000,0.00000,1714135"
1715785,1762292217.448189,"0.00000,0.00000,1715820"
1719615,1762292221.271997,"1.00000,0.00000,1719640"
1725720,1762292227.384110,"1.00000,0.00000,1725750"
1728460,1762292230.119238,"0.00000,1728490"
1728735,1762292230.385427,"7.09804,-1.00000,0.00000,1728750"
1729265,1762292230.910435,"1.00000,0.00000,1729280"
1730370,1762292232.031996,"0.00000,1730390"
1730635,1762292232.296303,"1.00000,0.00000,1730660"
1734495,1762292236.181041,"1.00000,0.00000,1734520"
1735630,1762292237.267500,"1.00000,0.00000,1735675"
1735820,1762292237.269049,"=== RUN END ==="
1735820,1762292237.319214,"Type START to run again, or SHOW to view config."
