time_ms,time_ts,chatter
1762292468878,1762292468.878647,"-- Current Config --"
1762292468878,1762292468.878793,"MOTOR_STEP_DEG=1.800"
1762292468879,1762292468.879952,"WHEEL_DIAM_IN=3.750"
1762292468880,1762292468.880068,"ACCEL_FT=4.000"
1762292468880,1762292468.880115,"CRUISE_FT=10.000"
1762292468882,1762292468.882866,"DECEL_FT=4.000"
1762292468883,1762292468.883240,"VMAX_FPS=3.000"
1762292468884,1762292468.884144,"PAUSE_MS=10000"
1762292468885,1762292468.885260,"REWIND_TIME_S=30"
1762292468885,1762292468.885300,"DIR_INV=0"
1762292468885,1762292468.885376,"RATE_HZ=200"
1762292468885,1762292468.885423,"REWIND_CAL_IN=1.000"
1762292468930,1762292468.930650,"1.125"
1762292468934,1762292468.934777,"Times: accel≈2.67s, cruise≈3.33s, decel≈2.67s, pause=10s, rewind≈30.00s, TOTAL≈48.67s"
1762292468939,1762292468.939778,"Rewind early-stop (in): 1.000"
1762292468939,1762292468.939852,"=== END PLAN ==="
1762292468940,1762292468.940180,"=== COUNTDOWN ==="
1762292468940,1762292468.940233,"5"
1762292469932,1762292469.932823,"4"
1762292470938,1762292470.938344,"3"
1762292471923,1762292471.923840,"WHISTLE!"
1762292472939,1762292472.939905,"1"
1762292474163,1762292474.163025,"0.06749,1972162"
1972407,1762292474.540659,"0.06872,1972522"
1973307,1762292475.340047,"0.12000,0.07143,1973337"
1977032,1762292479.071512,"0.91816,1977062"
1977567,1762292479.619369,"1.46061,1977587"
1978637,1762292480.683917,"3.00000,0.00000,1978662"
1980517,1762292482.584789,"3.00000,0.00000,1980547"
1982427,1762292484.486971,"1.81885,1982447"
1984567,1762292486.613528,"0.00000,0.00000,1984592"
1986752,1762292488.828813,"0.00000,0.00000,1986787"
1987862,1762292489.930043,"0.00000,1987887"
1988407,1762292490.482130,"18.00034,0.00000,0.00000,1988432"
1990077,1762292492.150753,"0.00000,0.00000,1990102"
1990347,1762292492.423940,"0.00000,0.00000,1990377"
1995147,1762292497.233221,"0.00000,1995177"
1996557,1762292498.663347,"1.00000,0.00000,1996597"
1997132,1762292499.212089,"0.00000,1997167"
2000202,1762292502.278855,"1.00000,0.00000,2000227"
2000737,1762292502.813715,"0.00000,2000767"
2001272,1762292503.364532,"0.00000,2001302"
2001547,1762292503.627383,"0.00000,2001577"
2001822,1762292503.888637,"0.00000,2001837"
2002082,1762292504.155787,"0.00000,2002097"
2003457,1762292505.543451,"0.00000,2003482"
2003997,1762292506.071717,"0.00000,2004017"
2004792,1762292506.910981,"0.00000,2004832"
2005077,1762292507.170134,"0.00000,2005117"
2008342,1762292510.459358,"1.00000,0.00000,2008382"
2008907,1762292511.030754,"1.00000,0.00000,2008942"
2011487,1762292513.603545,"0.28962,-1.00000,0.00000,2011517"
2011807,1762292513.655432,"=== RUN END ==="
2011807,1762292513.693483,"Type START to run again, or SHOW to view config."
